Date,Time,Pressure,Temperature
2026-02-03,13:27:09,10.1059,26.539
2026-02-03,13:42:09,10.1045,25.878
2026-02-03,13:57:09,10.1056,25.846
2026-02-03,14:12:09,10.1124,20.712
2026-02-03,14:27:09,10.1079,19.341
2026-02-03,14:42:09,10.1216,16.197
2026-02-03,14:57:09,10.1018,10.610
2026-02-03,15:12:09,10.8344,8.436
2026-02-03,15:27:09,10.8397,8.463
2026-02-03,15:42:09,10.8395,8.482
2026-02-03,15:57:09,10.8369,8.251
2026-02-03,16:12:09,10.8402,8.281
2026-02-03,16:27:09,10.8419,8.354
2026-02-03,16:42:09,10.8432,8.370
2026-02-03,16:57:09,10.8434,8.378
2026-02-03,17:12:09,10.8444,8.382
2026-02-03,17:27:09,10.8436,8.348
2026-02-03,17:42:09,10.8456,8.303
2026-02-03,17:57:09,10.8462,8.308
2026-02-03,18:12:09,10.8467,8.336
2026-02-03,18:27:09,10.8480,8.385
2026-02-03,18:42:09,10.8486,8.377
2026-02-03,18:57:09,10.8476,8.334
2026-02-03,19:12:09,10.8488,8.362
2026-02-03,19:27:09,10.8481,8.368
2026-02-03,19:42:09,10.8481,8.394
2026-02-03,19:57:09,10.8485,8.396
2026-02-03,20:12:09,10.8490,8.397
2026-02-03,20:27:09,10.8492,8.416
2026-02-03,20:42:09,10.8495,8.400
2026-02-03,20:57:09,10.8499,8.402
2026-02-03,21:12:09,10.8491,8.393
2026-02-03,21:27:09,10.8489,8.395
2026-02-03,21:42:09,10.8493,8.389
2026-02-03,21:57:09,10.8476,8.353
2026-02-03,22:12:09,10.8484,8.420
2026-02-03,22:27:09,10.8486,8.425
2026-02-03,22:42:09,10.8486,8.401
2026-02-03,22:57:09,10.8488,8.403
2026-02-03,23:12:09,10.8486,8.398
2026-02-03,23:27:09,10.8478,8.393
2026-02-03,23:42:09,10.8479,8.382
2026-02-03,23:57:09,10.8468,8.353
2026-02-04,00:12:09,10.8466,8.348
2026-02-04,00:27:09,10.8461,8.323
2026-02-04,00:42:09,10.8462,8.324
2026-02-04,00:57:09,10.8461,8.359
2026-02-04,01:12:09,10.8464,8.320
2026-02-04,01:27:09,10.8463,8.310
2026-02-04,01:42:09,10.8488,8.305
2026-02-04,01:57:09,10.8508,8.319
2026-02-04,02:12:09,10.8528,8.369
2026-02-04,02:27:09,10.8537,8.394
2026-02-04,02:42:09,10.8533,8.374
2026-02-04,02:57:09,10.8546,8.400
2026-02-04,03:12:09,10.8555,8.442
2026-02-04,03:27:09,10.8546,8.427
2026-02-04,03:42:09,10.8539,8.422
2026-02-04,03:57:09,10.8540,8.415
2026-02-04,04:12:09,10.8553,8.438
2026-02-04,04:27:09,10.8567,8.433
2026-02-04,04:42:09,10.8572,8.411
2026-02-04,04:57:09,10.8567,8.414
2026-02-04,05:12:09,10.8593,8.395
2026-02-04,05:27:09,10.8593,8.341
2026-02-04,05:42:09,10.8582,8.315
2026-02-04,05:57:09,10.8590,8.331
2026-02-04,06:12:09,10.8600,8.309
2026-02-04,06:27:09,10.8604,8.308
2026-02-04,06:42:09,10.8610,8.314
2026-02-04,06:57:09,10.8630,8.316
2026-02-04,07:12:09,10.8637,8.369
2026-02-04,07:27:09,10.8621,8.344
2026-02-04,07:42:09,10.8623,8.332
2026-02-04,07:57:09,10.8618,8.313
2026-02-04,08:12:09,10.8634,8.349
2026-02-04,08:27:09,10.8650,8.402
2026-02-04,08:42:09,10.8654,8.393
2026-02-04,08:57:09,10.8657,8.349
2026-02-04,09:12:09,10.8665,8.354
2026-02-04,09:27:09,10.8701,8.340
2026-02-04,09:42:09,10.8728,8.338
2026-02-04,09:57:09,10.8728,8.328
2026-02-04,10:12:09,10.8728,8.350
2026-02-04,10:27:09,10.8725,8.330
2026-02-04,10:42:09,10.8737,8.302
2026-02-04,10:57:09,10.8750,8.383
2026-02-04,11:12:09,10.8745,8.371
2026-02-04,11:27:09,10.8734,8.371
2026-02-04,11:42:09,10.8727,8.353
2026-02-04,11:57:09,10.8719,8.342
2026-02-04,12:12:09,10.8719,8.345
2026-02-04,12:27:09,10.8711,8.368
2026-02-04,12:42:09,10.8703,8.395
2026-02-04,12:57:09,10.8693,8.365
2026-02-04,13:12:09,10.8668,8.300
2026-02-04,13:27:09,10.8645,8.330
2026-02-04,13:42:09,10.8626,8.366
2026-02-04,13:57:09,10.8597,8.351
2026-02-04,14:12:09,10.8587,8.366
2026-02-04,14:27:09,10.8578,8.360
2026-02-04,14:42:09,10.8599,8.379
2026-02-04,14:57:09,10.8578,8.387
2026-02-04,15:12:09,10.8601,8.425
2026-02-04,15:27:09,10.8565,8.308
2026-02-04,15:42:09,10.8563,8.339
2026-02-04,15:57:09,10.8572,8.337
2026-02-04,16:12:09,10.8564,8.320
2026-02-04,16:27:09,10.8552,8.338
2026-02-04,16:42:09,10.8527,8.313
2026-02-04,16:57:09,10.8536,8.351
2026-02-04,17:12:09,10.8555,8.422
2026-02-04,17:27:09,10.8522,8.393
2026-02-04,17:42:09,10.8452,8.321
2026-02-04,17:57:09,10.8455,8.371
2026-02-04,18:12:09,10.8470,8.442
2026-02-04,18:27:09,10.8441,8.286
2026-02-04,18:42:09,10.8453,8.329
2026-02-04,18:57:09,10.8465,8.350
2026-02-04,19:12:09,10.8436,8.354
2026-02-04,19:27:09,10.8399,8.362
2026-02-04,19:42:09,10.8352,8.478
2026-02-04,19:57:09,10.8308,8.291
2026-02-04,20:12:09,10.8304,8.300
2026-02-04,20:27:09,10.8298,8.348
