SampleID,Flouride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,Well ,PumpTest_Creek,Date,Month,Day,Year,SampleNum,MeasurementDate
P1B1 04/16,0.5439,41.5695,n.a.,n.a.,12.2517,n.a.,33.5444,P1,B,04/16,04,16,2025,1,05/27/25
P1B2 04/16,0.4917,32.7794,2.514,n.a.,10.8651,n.a.,28.1994,P1,B,04/16,04,16,2025,2,05/27/25
P1B3 04/16,0.527,40.2672,n.a.,n.a.,12.787,n.a.,34.2688,P1,B,04/16,04,16,2025,3,05/27/25
P1A1 04/16,0.5518,37.4321,n.a.,n.a.,13.317,n.a.,30.4889,P1,A,04/16,04,16,2025,1,05/27/25
P1A2 04/16,0.5203,38.5315,n.a.,n.a.,13.6774,n.a.,31.177,P1,A,04/16,04,16,2025,2,05/27/25
P1A3 04/16,0.4818,36.5754,n.a.,n.a.,13.1817,n.a.,30.4344,P1,A,04/16,04,16,2025,3,05/27/25
P1B1 04/21,0.4989,28.1202,n.a.,1.5054,9.7807,n.a.,23.8286,P1,B,04/21,04,21,2025,1,05/27/25
P1B2 04/21,0.5051,37.9658,n.a.,n.a.,11.8293,n.a.,32.553,P1,B,04/21,04,21,2025,2,05/27/25
P1B3 04/21,0.5484,39.8546,n.a.,n.a.,11.9849,n.a.,33.1468,P1,B,04/21,04,21,2025,3,05/27/25
P1A1 04/21,0.4996,35.2723,n.a.,n.a.,12.4208,n.a.,29.6059,P1,A,04/21,04,21,2025,1,05/27/25
P1A2 04/21,0.4979,36.4861,n.a.,n.a.,12.3887,n.a.,29.501,P1,A,04/21,04,21,2025,2,05/27/25
P1A3 04/21,0.47,36.2783,n.a.,n.a.,12.581,n.a.,30.2838,P1,A,04/21,04,21,2025,3,05/27/25
P1B1 04/28,0.4505,35.0097,n.a.,n.a.,11.3591,n.a.,31.2435,P1,B,04/28,04,28,2025,1,05/27/25
P1B2 04/28,0.4765,36.6628,n.a.,n.a.,11.8397,n.a.,32.8119,P1,B,04/28,04,28,2025,2,05/27/25
P1B3 04/28,0.4928,37.0505,n.a.,n.a.,11.8411,n.a.,32.8488,P1,B,04/28,04,28,2025,3,05/27/25
P1A1 04/28,0.5251,34.7682,n.a.,n.a.,11.8946,n.a.,27.664,P1,A,04/28,04,28,2025,1,05/27/25
P1A2 04/28,0.5024,35.6931,n.a.,n.a.,12.5675,n.a.,28.6702,P1,A,04/28,04,28,2025,2,05/27/25
P1A3 04/28,0.4101,24.5516,n.a.,1.4164,9.6939,n.a.,20.6903,P1,A,04/28,04,28,2025,3,05/27/25
P1B1 05/12,0.4134,31.2174,n.a.,n.a.,9.4762,n.a.,29.6457,P1,B,05/12,05,12,2025,1,05/27/25
P1B2 05/12,0.4826,35.6368,n.a.,n.a.,10.6962,n.a.,34.1282,P1,B,05/12,05,12,2025,2,05/27/25
