Sample,Calcium,Magnesium,Potassium,Ammonium,Sodium,Lithium,MeasurementDate,Well ,PumpTest_Creek,SampleNum,Date,Dilution
DOWN 10/14/2025 1:4,8.1629,6.5005,0.1381,n.a.,1.9908,n.a.,7/21/26,DOWN,B,1,10-14,1:4
DOWN 10/14/2025 1:4,8.1629,6.5005,0.1381,n.a.,1.9908,n.a.,8/6/26,DOWN,B,1,10-14,1:4
P1B1 01/06/2026 1:4,19.8934,6.9319,0.0981,n.a.,3.0131,n.a.,7/21/26,P1,B,1,01/06/2026,1:4
P1B1 01/06/2026 1:4,19.8934,6.9319,0.0981,n.a.,3.0131,n.a.,8/6/26,P1,B,1,01/06/2026,1:4
P1C1 01/06/2026 1:4,8.7178,6.2396,0.4672,n.a.,26.2673,n.a.,7/21/26,P1,C,1,01/06/2026,1:4
P1C1 01/06/2026 1:4,8.7178,6.2396,0.4672,n.a.,26.2673,n.a.,8/6/26,P1,C,1,01/06/2026,1:4
P4B1 01/06/2026 1:4,7.1521,8.2306,0.1928,n.a.,2.2156,n.a.,8/30/2026,P4,B,1,01/06/2026,1:4
P5A1 01/06/2026 1:4,7.8753,5.8258,0.1296,n.a.,1.4811,n.a.,8/12/2026,P5,A,1,01/06/2026,1:4
P5B1 01/06/2026 1:4,7.6307,5.746,0.0881,n.a.,1.4344,n.a.,8/10/2026,P5,B,1,01/06/2026,1:4
P5C1 01/06/2026 1:4,8.5508,5.6374,0.4246,n.a.,35.1689,n.a.,8/13/2026,P5,C,1,01/06/2026,1:4
P1A1 01/13/2026 1:4,18.8589,6.8605,0.0579,n.a.,2.6383,n.a.,7/21/26,P1,A,1,01/13/2026,1:4
P1A1 01/13/2026 1:4,5.6119,7.8994,0.1974,n.a.,2.2238,n.a.,9/11/2026,P1,A,1,01/13/2026,1:4
P1A1 01/13/2026 1:4,18.8589,6.8605,0.0579,n.a.,2.6383,n.a.,8/6/26,P1,A,1,01/13/2026,1:4
P1B1 01/13/2026 1:4,19.5574,7.1357,0.1172,n.a.,3.0751,n.a.,7/21/26,P1,B,1,01/13/2026,1:4
P1B1 01/13/2026 1:4,19.5574,7.1357,0.1172,n.a.,3.0751,n.a.,8/6/26,P1,B,1,01/13/2026,1:4
P1C1 01/13/2026 1:4,7.9062,6.3965,0.1545,n.a.,4.7886,n.a.,7/21/26,P1,C,1,01/13/2026,1:4
P1C1 01/13/2026 1:4,7.9062,6.3965,0.1545,n.a.,4.7886,n.a.,8/6/26,P1,C,1,01/13/2026,1:4
P3A1 01/13/2026 1:4,15.6336,7.1697,0.0043,n.a.,1.0208,n.a.,7/21/26,P3,A,1,01/13/2026,1:4
P3A1 01/13/2026 1:4,15.6336,7.1697,0.0043,n.a.,1.0208,n.a.,8/6/26,P3,A,1,01/13/2026,1:4
P3C1 01/13/2026 1:4,8.4752,6.2734,0.1856,n.a.,6.4415,n.a.,7/21/26,P3,C,1,01/13/2026,1:4
P3C1 01/13/2026 1:4,8.4746,6.2742,0.1856,n.a.,6.4402,n.a.,7/21/26,P3,C,1,01/13/2026,1:4
P3C1 01/13/2026 1:4,5.7233,6.2673,0.1872,n.a.,6.4419,n.a.,7/21/26,P3,C,1,01/13/2026,1:4
P3C1 01/13/2026 1:4,8.4752,6.2734,0.1856,n.a.,6.4415,n.a.,8/6/26,P3,C,1,01/13/2026,1:4
P3C1 01/13/2026 1:4,8.4746,6.2742,0.1856,n.a.,6.4402,n.a.,8/6/26,P3,C,1,01/13/2026,1:4
P3C1 01/13/2026 1:4,5.7233,6.2673,0.1872,n.a.,6.4419,n.a.,8/6/26,P3,C,1,01/13/2026,1:4
P4B1 01/13/2026 1:4,4.8004,8.2916,0.2446,n.a.,2.3017,n.a.,9/23/2026,P4,B,1,01/13/2026,1:4
P5A1 01/13/2026 1:4,18.1945,6.2797,0.1289,n.a.,2.0643,n.a.,8/1/2026,P5,A,1,01/13/2026,1:4
P5B1 01/13/2026 1:4,6.976,5.6471,0.0832,n.a.,1.3972,n.a.,8/4/2026,P5,B,1,01/13/2026,1:4
P5C1 01/18/2026 1:4,7.9632,6.1817,0.163,n.a.,6.5059,n.a.,8/6/2026,P5,C,1,01/18/2026,1:4
P1A1 02/03/2026 1:4,19.3084,6.9286,0.0492,n.a.,2.7011,n.a.,7/21/26,P1,A,1,02/03/2026,1:4
P1A1 02/03/2026 1:4,19.3084,6.9286,0.0492,n.a.,2.7011,n.a.,8/6/26,P1,A,1,02/03/2026,1:4
P1B1 02/03/2026 1:4,8.82,6.6182,0.1156,n.a.,2.8151,n.a.,7/21/26,P1,B,1,02/03/2026,1:4
P1B1 02/03/2026 1:4,8.82,6.6182,0.1156,n.a.,2.8151,n.a.,8/6/26,P1,B,1,02/03/2026,1:4
P1C1 02/03/2026 1:4,7.5227,6.6074,0.0934,n.a.,2.5306,n.a.,7/21/26,P1,C,1,02/03/2026,1:4
P1C1 02/03/2026 1:4,7.5227,6.6074,0.0934,n.a.,2.5306,n.a.,8/6/26,P1,C,1,02/03/2026,1:4
P3A1 02/03/2026 1:4,17.2232,7.0367,0.0039,n.a.,1.0185,n.a.,7/21/26,P3,A,1,02/03/2026,1:4
P3A1 02/03/2026 1:4,17.2232,7.0367,0.0039,n.a.,1.0185,n.a.,8/6/26,P3,A,1,02/03/2026,1:4
P5B1 02/03/2026 1:4,16.9921,5.6656,0.1152,n.a.,1.3326,n.a.,8/3/2026,P5,B,1,02/03/2026,1:4
