Sample,Calcium,Magnesium,Potassium,Ammonium,Sodium,Lithium,MeasurementDate,Well ,PumpTest_Creek,SampleNum,Date,Dilution
1.0625 ppm Ca,1.0057,0.5287,1.2562,n.a.,0.5433,0.1191,06-24-2026,NA,NA,NA,NA,1:1
2.125 ppm Ca,2.0577,1.0714,2.5153,0.38,1.0577,0.241,06-24-2026,NA,NA,NA,NA,1:1
4.25 ppm Ca,4.2792,2.2319,5.2964,0.8553,2.2849,0.5038,06-24-2026,NA,NA,NA,NA,1:1
8.5 ppm Ca,8.6804,4.5461,10.7279,1.7158,4.6015,1.0212,06-24-2026,NA,NA,NA,NA,1:1
17 ppm Ca,16.9144,8.9903,20.8917,2.8779,8.9501,1.99,06-24-2026,NA,NA,NA,NA,1:1
8.5 ppm Ca,8.7019,4.5549,10.7479,1.7188,4.6074,1.023,06-24-2026,NA,NA,NA,NA,1:1
8.5 ppm Ca,8.6854,4.5572,10.7405,1.718,4.6143,1.0229,06-24-2026,NA,NA,NA,NA,1:1
1:4 Tap Compare,3.6237,1.1662,0.291,n.a.,28.0206,n.a.,06-24-2026,NA,NA,NA,NA,1:4
1:4 Tap Compare,3.6138,1.1645,0.2916,n.a.,28.0183,n.a.,06-24-2026,NA,NA,NA,NA,1:4
P1B1 06/16/2026 1:4,20.2498,6.8194,0.249,n.a.,2.8262,n.a.,06-24-2026,P1,B,1,06/16/2026,1:4
P1A1 06/16/2026 1:4,20.0406,6.9446,0.2597,n.a.,2.8334,n.a.,06-24-2026,P1,A,1,06/16/2026,1:4
P1C1 06/16/2026 1:4,17.0451,6.8539,0.2806,n.a.,2.1676,n.a.,06-24-2026,P1,C,1,06/16/2026,1:4
P2B1 06/16/2026 1:4,14.6675,5.5268,n.a.,n.a.,1.3015,n.a.,06-24-2026,P2,B,1,06/16/2026,1:4
P2A1 06/16/2026 1:4,13.2266,4.9807,0.2354,n.a.,1.2135,n.a.,06-24-2026,P2,A,1,06/16/2026,1:4
1.5625 ppm Ca test,2.5192,1.1982,2.5174,1.7704,0.9904,0.2358,06-24-2026,NA,NA,NA,NA,1:1
3.125 ppm Ca test,3.0728,1.4561,3.0644,2.1246,1.1846,0.2848,06-24-2026,NA,NA,NA,NA,1:1
