Date-Time,Temperature,Electrical Conductivity,Specific Conductivity,Salinity,Total Dissolved Solids
2024-11-06 14:16:29,13.78,3.5,4.5,0.01,2.26
2024-11-06 14:31:29,15.17,531.2,669.4,0.32,345.27
2024-11-06 14:46:29,15.23,532.8,670.4,0.32,346.32
2024-11-06 15:01:29,15.19,533.4,671.9,0.32,346.72
2024-11-06 15:16:29,15.13,533.4,672.8,0.32,346.71
2024-11-06 15:31:29,15.19,534.4,673.1,0.32,347.35
2024-11-06 15:46:29,15.16,534.1,673.2,0.32,347.19
2024-11-06 16:01:29,15.09,533.3,673.5,0.32,346.66
2024-11-06 16:16:29,15.06,533.8,674.7,0.32,347
2024-11-06 16:31:29,15.17,534.9,674,0.32,347.66
2024-11-06 16:46:29,15.17,535.7,675,0.32,348.21
2024-11-06 17:01:29,15.13,535.1,675,0.32,347.79
2024-11-06 17:16:29,15.01,534.6,676.5,0.32,347.46
2024-11-06 17:31:29,15.1,535.4,676,0.32,347.99
2024-11-06 17:46:29,14.99,534.7,677.1,0.32,347.59
2024-11-06 18:01:29,14.98,534.7,677.1,0.32,347.54
2024-11-06 18:16:29,15.05,534.9,676.2,0.32,347.71
2024-11-06 18:31:29,15.15,537.7,677.9,0.32,349.5
2024-11-06 18:46:29,15.15,537.6,677.9,0.32,349.47
2024-11-06 19:01:29,15.02,537.3,679.7,0.33,349.23
2024-11-06 19:16:29,15.13,537.7,678.2,0.32,349.52
2024-11-06 19:31:29,15.02,536.7,679,0.33,348.88
2024-11-06 19:46:29,15.01,537,679.5,0.33,349.08
2024-11-06 20:01:29,14.97,537.9,681.4,0.33,349.61
2024-11-06 20:16:29,15.03,538.3,680.8,0.33,349.89
2024-11-06 20:31:29,14.95,537.8,681.7,0.33,349.57
2024-11-06 20:46:29,14.98,538,681.4,0.33,349.72
2024-11-06 21:01:29,15.11,540,681.5,0.33,351
2024-11-06 21:16:29,14.98,538.6,682.1,0.33,350.09
2024-11-06 21:31:29,15.06,539.8,682.2,0.33,350.89
