Well,Date,Temp_before,SPC_before,Cond_before,TDS_before,Temp_after,SPC_after,Cond_after,TDS_after
P1,9/16/2025 0:00:00,,,,,,,,
P1,9/30/2025 0:00:00,,796,673,0.4,17.3,648,760,0.4
P1,10/7/2025 0:00:00,18,795,689,0.4,17.2,668,784,0.4
P1,10/14/2025 0:00:00,17.2,809,687,0.4,17.1,662,780,0.4
P1,10/28/2025 0:00:00,15.7,844,695,0.4,15.7,647,787,0.4
P1,11/4/2025 0:00:00,15.6,845,693,0.4,15.7,671,817,0.4
P1,11/11/2025 0:00:00,15,848,686,0.4,14,799,634,0.4
P1,11/18/2025 0:00:00,14.2,850,674,0.4,14.5,828,661,0.4
P1,1/6/2026 0:00:00,9.2,823,576,0.4,,,,
P1,1/13/2026 0:00:00,8.9,819,566,0.4,8.9,810,561,0.4
P1,2/3/2026 0:00:00,7.5,822,548,0.4,7.4,813,538,0.4
P1,2/17/2026 0:00:00,6.7,821,534,0.4,6.5,816,528,0.4
P1,2/24/2026 0:00:00,6.3,819,525,0.4,6.1,814,522,0.4
P1,3/3/2026 0:00:00,6,820,522,0.4,5.9,816,518,0.4
P1,3/10/2026 0:00:00,5.6,824,518,0.4,5.5,804,504,0.4
P1,3/31/2026 0:00:00,5.4,848,532,0.4,5.3,812,507,0.4
P1,4/7/2026 0:00:00,5.5,850,533,0.5,5.4,805,504,0.4
P1,4/14/2026 0:00:00,5.6,875,552,0.4,5.5,828,520,0.4
P1,4/21/2026 0:00:00,5.8,877,557,0.4,6.7,826,538,0.4
P1,4/28/2026 0:00:00,7.3,838,555,0.4,6.2,831,534,0.4
P1,5/12/2026 0:00:00,7,872,573,0.4,7.1,837,551,0.4
P1,5/19/2026 0:00:00,7.2,864,572,0.4,7.3,840,556,0.4
P1,5/26/2026 0:00:00,7.8,871,586,0.4,7.9,837,565,0.4
P1,6/16/2026 0:00:00,9.8,868,617,0.4,10.1,833,594,0.4
P1,6/23/2026 0:00:00,12.7,833,637,0.4,12.3,798,606,0.4
P1,6/30/2026 0:00:00,11.1,859,634,0.4,11.1,854,628,0.4
P1,7/14/2026 0:00:00,,,,,15,826,668,0.4
P1,7/27/2026 0:00:00,13.1,854,660,0.4,13,848,654,0.4
P2,9/16/2025 0:00:00,,,,0.3,,,,
P2,9/30/2025 0:00:00,15.7,746,613,0.3,15.9,616,745,0.4
P2,10/7/2025 0:00:00,17.3,739,631,0.4,17,657,775,0.4
P2,10/14/2025 0:00:00,16,747,618,0.4,15.9,645,780,0.4
P2,10/28/2025 0:00:00,14.1,755,600,0.4,14.1,625,788,0.4
