Location,Date,SPC bottom before,Area
P1,7/8/2024 0:00:00,,Piezometer
P1,7/10/2024 0:00:00,,Piezometer
P1,7/16/2024 0:00:00,,Piezometer
P1,7/19/2024 0:00:00,,Piezometer
P1,7/23/2024 0:00:00,,Piezometer
P1,7/26/2014 0:00:00,,Piezometer
P1,7/28/2024 0:00:00,,Piezometer
P1,7/30/2024 0:00:00,,Piezometer
P1,8/2/2024 0:00:00,,Piezometer
P1,8/3/2024 0:00:00,,Piezometer
P1,8/31/2024 0:00:00,,Piezometer
P1,9/4/2024 0:00:00,,Piezometer
P1,9/7/2024 0:00:00,,Piezometer
P1,9/18/2024 0:00:00,,Piezometer
P1,9/23/2024 0:00:00,,Piezometer
P1,10/4/2024 0:00:00,,Piezometer
P1,10/7/2024 0:00:00,,Piezometer
P1,10/10/2024 0:00:00,,Piezometer
P1,10/17/2024 0:00:00,,Piezometer
P1,10/21/2024 0:00:00,,Piezometer
P1,10/24/2024 0:00:00,,Piezometer
P1,11/1/2024 0:00:00,,Piezometer
P1,9/16/2025 0:00:00,,Piezometer
P1,9/30/2025 0:00:00,796,Piezometer
P1,10/7/2025 0:00:00,795,Piezometer
P1,10/14/2025 0:00:00,809,Piezometer
P1,10/28/2025 0:00:00,844,Piezometer
P1,11/4/2025 0:00:00,845,Piezometer
P1,11/11/2025 0:00:00,848,Piezometer
P1,11/18/2025 0:00:00,850,Piezometer
P1,1/6/2026 0:00:00,823,Piezometer
P1,1/13/2026 0:00:00,819,Piezometer
P1,2/3/2026 0:00:00,822,Piezometer
P1,2/17/2026 0:00:00,821,Piezometer
P1,2/24/2026 0:00:00,819,Piezometer
P1,3/3/2026 0:00:00,820,Piezometer
P1,3/10/2026 0:00:00,824,Piezometer
P1,3/31/2026 0:00:00,848,Piezometer
P1,4/7/2026 0:00:00,850,Piezometer
P1,4/14/2026 0:00:00,875,Piezometer
P1,4/21/2026 0:00:00,877,Piezometer
P1,4/28/2026 0:00:00,838,Piezometer
P1,5/12/2026 0:00:00,872,Piezometer
P1,5/19/2026 0:00:00,864,Piezometer
P1,5/26/2026 0:00:00,871,Piezometer
P1,6/16/2026 0:00:00,868,Piezometer
P1,6/23/2026 0:00:00,833,Piezometer
P1,6/30/2026 0:00:00,859,Piezometer
P2,6/18/2024 0:00:00,,Piezometer
P2,6/22/2024 0:00:00,,Piezometer
P2,6/25/2024 0:00:00,,Piezometer
P2,6/27/2024 0:00:00,,Piezometer
P2,6/29/2024 0:00:00,,Piezometer
P2,7/3/2024 0:00:00,,Piezometer
P2,7/6/2024 0:00:00,,Piezometer
P2,7/8/2024 0:00:00,,Piezometer
P2,7/10/2024 0:00:00,,Piezometer
P2,7/16/2024 0:00:00,,Piezometer
P2,7/19/2024 0:00:00,,Piezometer
P2,7/23/2024 0:00:00,,Piezometer
P2,7/26/2024 0:00:00,,Piezometer
P2,7/28/2024 0:00:00,,Piezometer
P2,7/30/2024 0:00:00,,Piezometer
P2,8/2/2024 0:00:00,,Piezometer
P2,8/3/2024 0:00:00,,Piezometer
P2,8/31/2024 0:00:00,,Piezometer
P2,9/4/2024 0:00:00,,Piezometer
P2,9/7/2024 0:00:00,,Piezometer
P2,9/18/2024 0:00:00,,Piezometer
P2,9/23/2024 0:00:00,,Piezometer
P2,10/4/2024 0:00:00,,Piezometer
P2,10/7/2024 0:00:00,,Piezometer
P2,10/10/2024 0:00:00,,Piezometer
P2,10/17/2024 0:00:00,,Piezometer
P2,10/21/2024 0:00:00,,Piezometer
P2,10/24/2024 0:00:00,,Piezometer
P2,11/1/2024 0:00:00,,Piezometer
P2,9/16/2025 0:00:00,,Piezometer
P2,9/30/2025 0:00:00,746,Piezometer
P2,10/7/2025 0:00:00,739,Piezometer
P2,10/14/2025 0:00:00,747,Piezometer
P2,10/28/2025 0:00:00,755,Piezometer
P2,11/4/2025 0:00:00,783,Piezometer
P2,11/11/2025 0:00:00,790,Piezometer
P2,11/18/2025 0:00:00,800,Piezometer
P2,1/6/2026 0:00:00,776,Piezometer
P2,1/13/2026 0:00:00,774,Piezometer
P2,2/17/2026 0:00:00,756,Piezometer
P2,2/24/2026 0:00:00,765,Piezometer
P2,3/3/2026 0:00:00,763,Piezometer
P2,3/10/2026 0:00:00,771,Piezometer
P2,3/31/2026 0:00:00,786,Piezometer
P2,4/7/2026 0:00:00,773,Piezometer
P2,4/14/2026 0:00:00,786,Piezometer
P2,4/21/2026 0:00:00,796,Piezometer
P2,4/28/2026 0:00:00,797,Piezometer
P2,5/12/2026 0:00:00,794,Piezometer
P2,5/19/2026 0:00:00,800,Piezometer
P2,5/26/2026 0:00:00,796,Piezometer
P2,6/16/2026 0:00:00,794,Piezometer
P2,6/23/2026 0:00:00,780,Piezometer
P2,6/30/2026 0:00:00,796,Piezometer
P3,6/25/2024 0:00:00,,Piezometer
P3,6/27/2024 0:00:00,,Piezometer
P3,6/29/2024 0:00:00,,Piezometer
P3,7/3/2024 0:00:00,,Piezometer
P3,7/6/2024 0:00:00,,Piezometer
P3,7/8/2024 0:00:00,,Piezometer
P3,7/10/2024 0:00:00,,Piezometer
P3,7/16/2024 0:00:00,,Piezometer
P3,7/19/2024 0:00:00,,Piezometer
P3,7/23/2024 0:00:00,,Piezometer
P3,7/26/2024 0:00:00,,Piezometer
P3,7/28/2024 0:00:00,,Piezometer
P3,7/30/2024 0:00:00,,Piezometer
P3,8/2/2024 0:00:00,,Piezometer
P3,8/3/2024 0:00:00,,Piezometer
P3,8/31/2024 0:00:00,,Piezometer
P3,9/4/2024 0:00:00,,Piezometer
P3,9/7/2024 0:00:00,,Piezometer
P3,9/18/2024 0:00:00,,Piezometer
P3,9/23/2024 0:00:00,,Piezometer
P3,10/4/2024 0:00:00,,Piezometer
P3,10/7/2024 0:00:00,,Piezometer
P3,10/10/2024 0:00:00,,Piezometer
P3,10/17/2024 0:00:00,,Piezometer
P3,10/21/2024 0:00:00,,Piezometer
P3,10/24/2024 0:00:00,,Piezometer
P3,11/1/2024 0:00:00,,Piezometer
P3,9/16/2025 0:00:00,,Piezometer
P3,9/30/2025 0:00:00,782,Piezometer
P3,10/7/2025 0:00:00,790,Piezometer
P3,10/14/2025 0:00:00,799,Piezometer
P3,10/28/2025 0:00:00,801,Piezometer
P3,11/4/2025 0:00:00,815,Piezometer
P3,11/11/2025 0:00:00,811,Piezometer
P3,11/18/2025 0:00:00,812,Piezometer
P3,1/6/2026 0:00:00,795,Piezometer
P3,1/13/2026 0:00:00,790,Piezometer
P3,2/3/2026 0:00:00,778,Piezometer
P3,2/17/2026 0:00:00,779,Piezometer
P3,2/24/2026 0:00:00,780,Piezometer
P3,3/3/2026 0:00:00,778,Piezometer
P3,3/10/2026 0:00:00,778,Piezometer
P3,3/31/2026 0:00:00,777,Piezometer
P3,4/7/2026 0:00:00,791,Piezometer
P3,4/14/2026 0:00:00,794,Piezometer
P3,4/21/2026 0:00:00,819,Piezometer
P3,4/28/2026 0:00:00,805,Piezometer
P3,5/12/2026 0:00:00,805,Piezometer
P3,5/19/2026 0:00:00,812,Piezometer
P3,5/26/2026 0:00:00,817,Piezometer
P3,6/16/2026 0:00:00,802,Piezometer
P3,6/23/2026 0:00:00,796,Piezometer
P3,6/3/2026 0:00:00,809,Piezometer
P4,7/16/2024 0:00:00,,Piezometer
P4,7/19/2024 0:00:00,,Piezometer
P4,7/23/2024 0:00:00,,Piezometer
P4,7/26/2024 0:00:00,,Piezometer
P4,7/28/2024 0:00:00,,Piezometer
P4,7/30/2024 0:00:00,,Piezometer
P4,8/2/2024 0:00:00,,Piezometer
P4,8/3/2024 0:00:00,,Piezometer
P4,8/31/2024 0:00:00,,Piezometer
P4,9/4/2024 0:00:00,,Piezometer
P4,9/7/2024 0:00:00,,Piezometer
P4,9/18/2024 0:00:00,,Piezometer
P4,9/23/2024 0:00:00,,Piezometer
P4,10/4/2024 0:00:00,,Piezometer
P4,10/7/2024 0:00:00,,Piezometer
P4,10/10/2024 0:00:00,,Piezometer
P4,10/17/2024 0:00:00,,Piezometer
P4,10/21/2024 0:00:00,,Piezometer
P4,10/24/2024 0:00:00,,Piezometer
P4,11/1/2024 0:00:00,,Piezometer
P4,9/30/2025 0:00:00,,Piezometer
P4,10/7/2025 0:00:00,587,Piezometer
P4,10/14/2025 0:00:00,758,Piezometer
P4,10/28/2025 0:00:00,768,Piezometer
P4,11/4/2025 0:00:00,797,Piezometer
P4,11/11/2025 0:00:00,780,Piezometer
P4,11/18/2025 0:00:00,785,Piezometer
P4,1/6/2026 0:00:00,704,Piezometer
P4,1/13/2026 0:00:00,709,Piezometer
P4,2/17/2026 0:00:00,788,Piezometer
P4,2/24/2026 0:00:00,800,Piezometer
P4,3/3/2026 0:00:00,802,Piezometer
P4,3/10/2026 0:00:00,801,Piezometer
P4,3/31/2026 0:00:00,800,Piezometer
P4,4/7/2026 0:00:00,813,Piezometer
P4,4/14/2026 0:00:00,814,Piezometer
P4,4/21/2026 0:00:00,841,Piezometer
P4,4/28/2026 0:00:00,829,Piezometer
P4,5/12/2026 0:00:00,818,Piezometer
P4,5/19/2026 0:00:00,822,Piezometer
P4,5/26/2026 0:00:00,821,Piezometer
P4,6/16/2026 0:00:00,803,Piezometer
P4,6/23/2026 0:00:00,802,Piezometer
P4,6/30/2026 0:00:00,808,Piezometer
P5,6/25/2024 0:00:00,,Piezometer
P5,6/27/2024 0:00:00,,Piezometer
P5,6/29/2024 0:00:00,,Piezometer
P5,7/6/2024 0:00:00,,Piezometer
P5,7/8/2024 0:00:00,,Piezometer
P5,7/10/2024 0:00:00,,Piezometer
P5,7/16/2024 0:00:00,,Piezometer
P5,7/19/2024 0:00:00,,Piezometer
P5,7/23/2024 0:00:00,,Piezometer
P5,7/26/2024 0:00:00,,Piezometer
P5,7/28/2024 0:00:00,,Piezometer
P5,7/30/2024 0:00:00,,Piezometer
P5,8/2/2024 0:00:00,,Piezometer
P5,8/3/2024 0:00:00,,Piezometer
P5,8/31/2024 0:00:00,,Piezometer
P5,9/4/2024 0:00:00,,Piezometer
P5,9/7/2024 0:00:00,,Piezometer
P5,9/18/2024 0:00:00,,Piezometer
P5,9/23/2024 0:00:00,,Piezometer
P5,10/4/2024 0:00:00,,Piezometer
P5,10/21/2024 0:00:00,,Piezometer
P5,10/10/2024 0:00:00,,Piezometer
P5,10/17/2024 0:00:00,,Piezometer
P5,10/21/2024 0:00:00,,Piezometer
P5,11/1/2024 0:00:00,,Piezometer
P5,9/30/2025 0:00:00,,Piezometer
P5,10/7/2025 0:00:00,697,Piezometer
P5,10/14/2025 0:00:00,691,Piezometer
P5,10/28/2025 0:00:00,701,Piezometer
P5,11/4/2025 0:00:00,719,Piezometer
P5,11/11/2025 0:00:00,716,Piezometer
P5,11/18/2025 0:00:00,723,Piezometer
P5,1/6/2026 0:00:00,707,Piezometer
P5,1/13/2026 0:00:00,679,Piezometer
P5,2/3/2026 0:00:00,683,Piezometer
P5,2/17/2026 0:00:00,689,Piezometer
P5,2/24/2026 0:00:00,691,Piezometer
P5,3/3/2026 0:00:00,686,Piezometer
P5,3/10/2026 0:00:00,681,Piezometer
P5,3/31/2026 0:00:00,638,Piezometer
P5,4/7/2026 0:00:00,656,Piezometer
P5,4/14/2026 0:00:00,686,Piezometer
P5,4/21/2026 0:00:00,623,Piezometer
P5,4/28/2026 0:00:00,695,Piezometer
P5,5/12/2026 0:00:00,679,Piezometer
P5,5/19/2026 0:00:00,684,Piezometer
P5,5/26/2026 0:00:00,603,Piezometer
P5,6/16/2026 0:00:00,684,Piezometer
P5,6/23/2026 0:00:00,715,Piezometer
P5,6/30/2026 0:00:00,706,Piezometer
C1,7/8/2024 0:00:00,637,Creek
C1,7/10/2024 0:00:00,633,Creek
C1,7/16/2024 0:00:00,660,Creek
C1,7/19/2024 0:00:00,678,Creek
C1,7/23/2024 0:00:00,658,Creek
C1,7/26/2014 0:00:00,666,Creek
C1,7/28/2024 0:00:00,689,Creek
C1,7/30/2024 0:00:00,693,Creek
C1,8/2/2024 0:00:00,552,Creek
C1,8/3/2024 0:00:00,592,Creek
C1,8/31/2024 0:00:00,664,Creek
C1,9/4/2024 0:00:00,690,Creek
C1,9/7/2024 0:00:00,691,Creek
C1,9/18/2024 0:00:00,702,Creek
C1,9/23/2024 0:00:00,702,Creek
C1,10/4/2024 0:00:00,708,Creek
C1,10/10/2024 0:00:00,663,Creek
C1,10/17/2024 0:00:00,539,Creek
C1,10/21/2024 0:00:00,391.5,Creek
C1,10/24/2024 0:00:00,643,Creek
C1,11/1/2024 0:00:00,671,Creek
C1,9/30/2025 0:00:00,592,Creek
C1,10/7/2025 0:00:00,575,Creek
C1,10/14/2025 0:00:00,553,Creek
C1,10/28/2025 0:00:00,530,Creek
C1,11/4/2025 0:00:00,525,Creek
C1,11/11/2025 0:00:00,733,Creek
C1,11/18/2025 0:00:00,618,Creek
C1,1/6/2026 0:00:00,1326,Creek
C1,1/13/2026 0:00:00,810,Creek
C1,2/3/2026 0:00:00,779,Creek
C1,2/17/2026 0:00:00,713,Creek
C1,2/24/2026 0:00:00,765,Creek
C1,3/3/2026 0:00:00,748,Creek
C1,3/10/2026 0:00:00,657,Creek
C1,3/31/2026 0:00:00,688,Creek
C1,4/7/2026 0:00:00,660,Creek
C1,4/14/2026 0:00:00,592,Creek
C1,4/21/2026 0:00:00,693,Creek
C1,4/28/2026 0:00:00,603,Creek
C1,5/12/2026 0:00:00,673,Creek
C1,5/19/2026 0:00:00,574,Creek
C1,5/26/2026 0:00:00,656,Creek
C1,6/16/2026 0:00:00,710,Creek
C1,6/23/2026 0:00:00,712,Creek
C1,6/30/2026 0:00:00,654,Creek
C2,6/18/2024 0:00:00,502,Creek
C2,6/22/2024 0:00:00,275.6,Creek
C2,6/25/2024 0:00:00,561,Creek
C2,6/27/2024 0:00:00,583,Creek
C2,6/29/2024 0:00:00,341.2,Creek
C2,7/3/2024 0:00:00,620,Creek
C2,7/6/2024 0:00:00,566,Creek
C2,7/8/2024 0:00:00,630,Creek
C2,7/10/2024 0:00:00,664,Creek
C2,7/16/2024 0:00:00,684,Creek
C2,7/19/2024 0:00:00,691,Creek
C2,7/23/2024 0:00:00,674,Creek
C2,7/26/2024 0:00:00,684,Creek
C2,7/28/2024 0:00:00,691,Creek
C2,7/30/2024 0:00:00,691,Creek
C2,8/2/2024 0:00:00,551,Creek
C2,8/3/2024 0:00:00,587,Creek
C2,8/31/2024 0:00:00,687,Creek
C2,9/4/2024 0:00:00,692,Creek
C2,9/7/2024 0:00:00,691,Creek
C2,9/18/2024 0:00:00,704,Creek
C2,9/23/2024 0:00:00,698,Creek
C2,10/4/2024 0:00:00,718,Creek
C2,10/7/2024 0:00:00,,Creek
C2,10/10/2024 0:00:00,713,Creek
C2,10/17/2024 0:00:00,718,Creek
C2,10/21/2024 0:00:00,712,Creek
C2,10/24/2024 0:00:00,716,Creek
C2,11/1/2024 0:00:00,662,Creek
C2,10/7/2025 0:00:00,586,Creek
C2,10/14/2025 0:00:00,558,Creek
C2,10/28/2025 0:00:00,543,Creek
C2,11/4/2025 0:00:00,526,Creek
C2,11/11/2025 0:00:00,523,Creek
C2,11/18/2025 0:00:00,736,Creek
C2,1/6/2026 0:00:00,608,Creek
C2,1/13/2026 0:00:00,1382,Creek
C2,2/3/2026 0:00:00,834,Creek
C2,2/17/2026 0:00:00,713,Creek
C2,2/24/2026 0:00:00,770,Creek
C2,3/3/2026 0:00:00,741,Creek
C2,3/10/2026 0:00:00,657,Creek
C2,3/31/2026 0:00:00,692,Creek
C2,4/7/2026 0:00:00,663,Creek
C2,4/14/2026 0:00:00,580,Creek
C2,4/21/2026 0:00:00,710,Creek
C2,4/28/2026 0:00:00,600,Creek
C2,5/12/2026 0:00:00,673,Creek
C2,5/19/2026 0:00:00,567,Creek
C2,5/26/2026 0:00:00,646,Creek
C2,6/16/2026 0:00:00,697,Creek
C2,6/23/2026 0:00:00,705,Creek
C2,6/30/2026 0:00:00,644,Creek
C3,6/25/2024 0:00:00,611,Creek
C3,6/27/2024 0:00:00,664,Creek
C3,6/29/2024 0:00:00,303.9,Creek
C3,7/3/2024 0:00:00,553,Creek
C3,7/6/2024 0:00:00,510,Creek
C3,7/8/2024 0:00:00,557,Creek
C3,7/10/2024 0:00:00,577,Creek
C3,7/16/2024 0:00:00,594,Creek
C3,7/19/2024 0:00:00,598,Creek
C3,7/23/2024 0:00:00,580,Creek
C3,7/26/2024 0:00:00,596,Creek
C3,7/28/2024 0:00:00,617,Creek
C3,7/30/2024 0:00:00,615,Creek
C3,8/2/2024 0:00:00,515,Creek
C3,8/3/2024 0:00:00,528,Creek
C3,8/31/2024 0:00:00,585,Creek
C3,9/4/2024 0:00:00,596,Creek
C3,9/7/2024 0:00:00,556,Creek
C3,9/18/2024 0:00:00,594,Creek
C3,9/23/2024 0:00:00,558,Creek
C3,10/4/2024 0:00:00,557,Creek
C3,10/7/2024 0:00:00,,Creek
C3,10/10/2024 0:00:00,567,Creek
C3,10/17/2024 0:00:00,524,Creek
C3,10/21/2024 0:00:00,565,Creek
C3,10/24/2024 0:00:00,526,Creek
C3,11/1/2024 0:00:00,475,Creek
C3,9/30/2025 0:00:00,703,Creek
C3,10/7/2025 0:00:00,661,Creek
C3,10/14/2025 0:00:00,723,Creek
C3,10/28/2025 0:00:00,727,Creek
C3,11/4/2025 0:00:00,729,Creek
C3,11/11/2025 0:00:00,488,Creek
C3,11/18/2025 0:00:00,398.2,Creek
C3,1/6/2026 0:00:00,858,Creek
C3,1/13/2026 0:00:00,528,Creek
C3,2/3/2026 0:00:00,,Creek
C3,2/17/2026 0:00:00,458,Creek
C3,2/24/2026 0:00:00,772,Creek
C3,3/3/2026 0:00:00,497,Creek
C3,3/10/2026 0:00:00,430.1,Creek
