"LAF","ST","AST","REV-ST","REV-AST","TMP","channel","start_time","end_time","source_file"
-221.418,0.00623804,-0.0667863,0.0477329,-0.110146,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-221.164,-0.0647587,-0.0948335,0.0700338,0.0107745,-64.769,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-220.91,-0.116025,-0.157135,0.00203172,0.00752464,367.347,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-220.655,-0.116804,-0.16476,0.0117622,0.104207,1369.49,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-220.401,-0.080077,-0.138041,-0.0353081,0.0373778,109.076,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-220.147,-0.107868,-0.0666285,-0.063237,-0.0870164,19.804,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-219.893,-0.144501,-0.000267327,0.0411799,-0.0373977,-172.243,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-219.639,-0.151858,-0.0569537,0.180624,0.0387494,-102.887,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-219.384,-0.022557,-0.0709576,0.188813,0.0811087,68.176,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-219.13,0.0536089,-0.107164,0.108803,0.0325016,-8.73,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-218.876,-0.0622067,-0.134875,0.117455,-0.143142,175.272,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-218.622,-0.243897,-0.143459,0.204102,-0.13212,-37.933,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-218.368,-0.137685,-0.130024,-0.0303223,0.00955578,-51.345,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-218.113,-0.134959,-0.136571,-0.162037,-0.0303252,-72.35,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-217.859,-0.134993,-0.218252,0.0146432,-0.148869,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-217.605,-0.030197,-0.187698,0.115209,-0.0577899,212.908,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-217.351,-0.00642297,-0.22141,0.0212455,-0.193555,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-217.097,-0.16347,-0.248237,-0.0185116,-0.335161,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-216.842,-0.124771,-0.15077,0.0210047,-0.176202,935.757,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-216.588,0.0128372,-0.0513894,0.173018,-0.0480817,46.067,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-216.334,0.0105006,-0.0574207,0.213524,-0.127084,223.723,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-216.08,-0.0637828,-0.175538,0.187814,-0.17393,167.825,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-215.826,-0.174693,-0.229005,0.0908802,-0.0672662,32.16,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-215.571,-0.217278,-0.17999,-0.0227664,-0.0986432,250.283,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-215.317,-0.140376,-0.181067,-0.00501801,-0.139461,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-215.063,-0.0374948,-0.0637433,0.0788034,-0.0811661,102.88,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-214.809,-0.0453247,-0.00743637,0.158924,-0.0915129,-97.887,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-214.555,-0.104051,-0.146399,0.146719,-0.0694882,-0.478,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-214.3,-0.11005,-0.21631,0.0702496,-0.104898,198.452,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-214.046,-0.130816,-0.214396,-0.0399407,-0.127324,385.286,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-213.792,-0.232553,-0.0710845,-0.0250467,-0.189239,148.697,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-213.538,-0.186203,-0.0035731,0.0483738,-0.152157,-111.159,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
