"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","datetime","label","leg","depth_m","depth_ft"
8.235,3497.96,3349.75,3801.61,3634.18,25.771,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",0.234999999999999,0.770997399999998
8.49,3489.33,3334.43,3792.4,3605.06,25.056,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",0.49,1.6076116
8.744,3484.54,3329.02,3790.44,3595.2,24.829,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",0.744,2.44094496
8.998,3481.91,3324.76,3791.88,3595,24.741,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",0.997999999999999,3.27427832
9.252,3478.12,3311.54,3792.04,3592.14,24.398,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",1.252,4.10761168
9.506,3472.2,3285.92,3789.52,3579.09,23.571,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",1.506,4.94094504
9.761,3463.8,3251.67,3784.69,3553.71,22.308,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",1.761,5.77755924
10.015,3454.5,3215.76,3777.33,3519.14,20.846,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",2.015,6.6108926
10.269,3448.12,3184.39,3768.5,3481.76,19.394,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",2.269,7.44422596
10.523,3443.8,3158.87,3761.24,3447.94,18.103,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",2.523,8.27755932
10.777,3438.2,3135.82,3756.17,3419.78,17.004,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",2.777,9.11089268
11.032,3431.49,3113.8,3750.79,3394.97,16.052,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",3.032,9.94750688
11.286,3426.9,3094.69,3744.54,3372.08,15.195,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",3.286,10.78084024
