LAF,ST,AST,REV-ST,REV-AST,TMP,start_time,depth_m,datetime,label,leg,depth_ft
74.073,3241.33,2748.78,3706.66,3147.85,11.133,2026-07-06T00:10:30Z,65.073,2026-07-06T00:10:30Z,2026-07-06T00:10:00Z,down,213.49410131999997
74.073,3296.99,2798.44,3734.29,3176.49,11.136,2026-07-06T00:22:33Z,65.073,2026-07-06T00:22:33Z,2026-07-06T00:22:00Z,down,213.49410131999997
74.073,3292.01,2800.34,3799.08,3235.03,11.2,2026-07-06T00:34:37Z,65.073,2026-07-06T00:34:37Z,2026-07-06T00:34:00Z,down,213.49410131999997
74.073,3348.04,2849.86,3710.17,3161.71,11.092,2026-07-06T00:46:41Z,65.073,2026-07-06T00:46:41Z,2026-07-06T00:46:00Z,down,213.49410131999997
74.073,3226.05,2748.77,3755.27,3207.79,11.081,2026-07-06T00:58:43Z,65.073,2026-07-06T00:58:43Z,2026-07-06T00:58:00Z,down,213.49410131999997
74.073,3346.32,2858.24,3676.76,3144.49,11.158,2026-07-06T01:10:47Z,65.073,2026-07-06T01:10:47Z,2026-07-06T01:10:00Z,down,213.49410131999997
74.073,3341.92,2857.33,3802.5,3254.66,11.091,2026-07-06T01:22:50Z,65.073,2026-07-06T01:22:50Z,2026-07-06T01:22:00Z,down,213.49410131999997
74.073,3224.03,2758.83,3818.99,3272.26,10.99,2026-07-06T01:34:53Z,65.073,2026-07-06T01:34:53Z,2026-07-06T01:34:00Z,down,213.49410131999997
74.073,3296.82,2825.51,3763.67,3231.34,11.087,2026-07-06T01:46:57Z,65.073,2026-07-06T01:46:57Z,2026-07-06T01:46:00Z,down,213.49410131999997
74.073,3306.18,2840.01,3644.46,3133.34,11.123,2026-07-06T01:59:00Z,65.073,2026-07-06T01:59:00Z,2026-07-06T01:59:00Z,down,213.49410131999997
74.073,3392.93,2915.8,3751.19,3226.23,11.007,2026-07-06T02:11:04Z,65.073,2026-07-06T02:11:04Z,2026-07-06T02:11:00Z,down,213.49410131999997
74.073,3403.11,2927.8,3849.33,3317.26,11.04,2026-07-06T02:23:07Z,65.073,2026-07-06T02:23:07Z,2026-07-06T02:23:00Z,down,213.49410131999997
74.073,3329.48,2870.16,3871.79,3340.44,11.118,2026-07-06T02:35:10Z,65.073,2026-07-06T02:35:10Z,2026-07-06T02:35:00Z,down,213.49410131999997
74.073,3363.53,2900.67,3944.72,3405.2,11.025,2026-07-06T02:47:13Z,65.073,2026-07-06T02:47:13Z,2026-07-06T02:47:00Z,down,213.49410131999997
74.073,3470.99,2994.99,4080.61,3526,10.969,2026-07-06T02:59:16Z,65.073,2026-07-06T02:59:16Z,2026-07-06T02:59:00Z,down,213.49410131999997
74.073,3441.65,2975.01,3865.36,3345.33,11.12,2026-07-06T03:11:19Z,65.073,2026-07-06T03:11:19Z,2026-07-06T03:11:00Z,down,213.49410131999997
