LAF,ST,AST,REV-ST,REV-AST,TMP,start_time,depth_m,datetime,label,leg,depth_ft
31.622,3300.03,2807.43,3637.19,3083.48,11.252,2026-07-06T00:10:30.795Z,22.622,2026-07-06T00:10:30Z,2026-07-06 00:10,down,74.21916248
31.622,3357.37,2856.95,3670.55,3125.08,11.425,2026-07-06T00:22:33.874Z,22.622,2026-07-06T00:22:33Z,2026-07-06 00:22,down,74.21916248
31.622,3354,2868.85,3730.33,3176.12,11.653,2026-07-06T00:34:37.032Z,22.622,2026-07-06T00:34:37Z,2026-07-06 00:34,down,74.21916248
31.622,3403.83,2903.63,3641.51,3097.41,11.117,2026-07-06T00:46:41.268Z,22.622,2026-07-06T00:46:41Z,2026-07-06 00:46,down,74.21916248
31.622,3279.91,2800.58,3686.66,3148.14,11.23,2026-07-06T00:58:43.973Z,22.622,2026-07-06T00:58:43Z,2026-07-06 00:58,down,74.21916248
31.622,3404.6,2923.28,3607.95,3088.1,11.664,2026-07-06T01:10:47.787Z,22.622,2026-07-06T01:10:47Z,2026-07-06 01:10,down,74.21916248
31.622,3401.14,2915.55,3733.14,3189.68,11.162,2026-07-06T01:22:50.710Z,22.622,2026-07-06T01:22:50Z,2026-07-06 01:22,down,74.21916248
31.622,3279.53,2811.72,3753.97,3209.49,10.967,2026-07-06T01:34:53.665Z,22.622,2026-07-06T01:34:53Z,2026-07-06 01:34,down,74.21916248
31.622,3351.62,2880.5,3702.59,3180.18,11.355,2026-07-06T01:46:57.197Z,22.622,2026-07-06T01:46:57Z,2026-07-06 01:46,down,74.21916248
31.622,3368.48,2908.44,3579.24,3074.31,11.473,2026-07-06T01:59:00.511Z,22.622,2026-07-06T01:59:00Z,2026-07-06 01:59,down,74.21916248
31.622,3449.98,2971.45,3680.72,3159.59,11.034,2026-07-06T02:11:04.185Z,22.622,2026-07-06T02:11:04Z,2026-07-06 02:11,down,74.21916248
31.622,3458.23,2981.56,3779.49,3255.45,11.177,2026-07-06T02:23:07.390Z,22.622,2026-07-06T02:23:07Z,2026-07-06 02:23,down,74.21916248
31.622,3390.42,2936.86,3802.98,3281.59,11.537,2026-07-06T02:35:10.500Z,22.622,2026-07-06T02:35:10Z,2026-07-06 02:35,down,74.21916248
31.622,3422.51,2959.26,3871.28,3335.06,11.074,2026-07-06T02:47:13.705Z,22.622,2026-07-06T02:47:13Z,2026-07-06 02:47,down,74.21916248
31.622,3532.09,3053.75,4007.6,3456.99,10.991,2026-07-06T02:59:16.425Z,22.622,2026-07-06T02:59:16Z,2026-07-06 02:59,down,74.21916248
31.622,3506.4,3044.55,3795.03,3287.89,11.581,2026-07-06T03:11:19.067Z,22.622,2026-07-06T03:11:19Z,2026-07-06 03:11,down,74.21916248
31.622,3538.1,3072.1,3889.49,3361.74,11.197,2026-07-06T03:23:23.022Z,22.622,2026-07-06T03:23:23Z,2026-07-06 03:23,down,74.21916248
31.622,3422.72,2969.35,3843.13,3322.19,10.996,2026-07-06T03:35:26.273Z,22.622,2026-07-06T03:35:26Z,2026-07-06 03:35,down,74.21916248
31.622,3417.4,2968.45,3861.55,3351.82,11.296,2026-07-06T03:47:30.119Z,22.622,2026-07-06T03:47:30Z,2026-07-06 03:47,down,74.21916248
31.622,3307.93,2885.62,3780.73,3279.6,11.467,2026-07-06T03:59:33.652Z,22.622,2026-07-06T03:59:33Z,2026-07-06 03:59,down,74.21916248
31.622,3556.52,3093.52,3782.96,3278.67,11.023,2026-07-06T04:11:36.309Z,22.622,2026-07-06T04:11:36Z,2026-07-06 04:11,down,74.21916248
31.622,3326.43,2894.77,3758.05,3258.17,10.94,2026-07-06T04:23:39.404Z,22.622,2026-07-06T04:23:39Z,2026-07-06 04:23,down,74.21916248
31.622,3338.25,2914.18,3671.7,3198.77,11.526,2026-07-06T04:35:42.875Z,22.622,2026-07-06T04:35:42Z,2026-07-06 04:35,down,74.21916248
31.622,3406.65,2977.19,3772.82,3278.34,11.247,2026-07-06T04:47:45.767Z,22.622,2026-07-06T04:47:45Z,2026-07-06 04:47,down,74.21916248
31.622,3403.74,2968.14,3745.65,3253.76,10.955,2026-07-06T04:59:48.002Z,22.622,2026-07-06T04:59:48Z,2026-07-06 04:59,down,74.21916248
31.622,3458.2,3017.52,3789.71,3305.45,11.216,2026-07-06T05:11:51.050Z,22.622,2026-07-06T05:11:51Z,2026-07-06 05:11,down,74.21916248
31.622,3234.71,2837.22,3627.12,3162.02,11.511,2026-07-06T05:23:54.896Z,22.622,2026-07-06T05:23:54Z,2026-07-06 05:23,down,74.21916248
31.622,3362.91,2939.94,3806.17,3314.11,10.997,2026-07-06T05:35:58.366Z,22.622,2026-07-06T05:35:58Z,2026-07-06 05:35,down,74.21916248
31.622,3273.65,2861.05,3599.05,3133.6,10.891,2026-07-06T05:48:01.602Z,22.622,2026-07-06T05:48:01Z,2026-07-06 05:48,down,74.21916248
31.622,3210.53,2808.28,3701.92,3234.92,11.157,2026-07-06T06:00:04.353Z,22.622,2026-07-06T06:00:04Z,2026-07-06 06:00,down,74.21916248
31.622,3375.52,2965.97,3623.76,3166.29,11.47,2026-07-06T06:12:06.526Z,22.622,2026-07-06T06:12:06Z,2026-07-06 06:12,down,74.21916248
