LAF,ST,AST,REV-ST,REV-AST,TMP,start_time,depth_m,datetime,label,leg,depth_ft
31.622,3308.69,2805.27,3592.13,3039.06,10.843,2026-06-06T00:00:48.927Z,22.622,2026-06-06T00:00:48Z,2026-06-06 00:00,down,74.21916248
31.622,3316.93,2817.21,3722.64,3154.32,10.864,2026-06-06T00:12:52.116Z,22.622,2026-06-06T00:12:52Z,2026-06-06 00:12,down,74.21916248
31.622,3308.92,2814.29,3762.81,3191.84,10.852,2026-06-06T00:24:55.461Z,22.622,2026-06-06T00:24:55Z,2026-06-06 00:24,down,74.21916248
31.622,3344,2847,3712.4,3153.42,10.834,2026-06-06T00:36:58.259Z,22.622,2026-06-06T00:36:58Z,2026-06-06 00:36,down,74.21916248
31.622,3307.98,2819.86,3683.89,3133.4,10.836,2026-06-06T00:49:00.791Z,22.622,2026-06-06T00:49:00Z,2026-06-06 00:49,down,74.21916248
31.622,3299.98,2817.62,3655.25,3113.65,10.839,2026-06-06T01:01:04.356Z,22.622,2026-06-06T01:01:04Z,2026-06-06 01:01,down,74.21916248
31.622,3303.85,2823.1,3791.75,3232.86,10.816,2026-06-06T01:13:07.044Z,22.622,2026-06-06T01:13:07Z,2026-06-06 01:13,down,74.21916248
31.622,3278.23,2805.71,3721.06,3177.44,10.839,2026-06-06T01:25:10.624Z,22.622,2026-06-06T01:25:10Z,2026-06-06 01:25,down,74.21916248
31.622,3263.88,2796.88,3718.4,3177.61,10.802,2026-06-06T01:37:13.516Z,22.622,2026-06-06T01:37:13Z,2026-06-06 01:37,down,74.21916248
31.622,3291.48,2824.12,3623.22,3100.26,10.805,2026-06-06T01:49:16.424Z,22.622,2026-06-06T01:49:16Z,2026-06-06 01:49,down,74.21916248
31.622,3390.92,2912.34,3665.39,3140.97,10.806,2026-06-06T02:01:19.237Z,22.622,2026-06-06T02:01:19Z,2026-06-06 02:01,down,74.21916248
31.622,3313.81,2850.67,3746.89,3215.22,10.789,2026-06-06T02:13:22.411Z,22.622,2026-06-06T02:13:22Z,2026-06-06 02:13,down,74.21916248
31.622,3355.54,2890.3,3771.51,3238.98,10.794,2026-06-06T02:25:25.475Z,22.622,2026-06-06T02:25:25Z,2026-06-06 02:25,down,74.21916248
31.622,3365.23,2901.77,3755.76,3229.26,10.785,2026-06-06T02:37:28.617Z,22.622,2026-06-06T02:37:28Z,2026-06-06 02:37,down,74.21916248
31.622,3480.72,3004.45,3905.32,3361.77,10.787,2026-06-06T02:49:31.759Z,22.622,2026-06-06T02:49:31Z,2026-06-06 02:49,down,74.21916248
31.622,3609.23,3119.58,3817.43,3290.33,10.774,2026-06-06T03:01:35.307Z,22.622,2026-06-06T03:01:35Z,2026-06-06 03:01,down,74.21916248
31.622,3454.92,2989.44,3891.23,3358.01,10.803,2026-06-06T03:13:38.418Z,22.622,2026-06-06T03:13:38Z,2026-06-06 03:13,down,74.21916248
31.622,3465.49,3002.32,3879.28,3350.01,10.792,2026-06-06T03:25:42.045Z,22.622,2026-06-06T03:25:42Z,2026-06-06 03:25,down,74.21916248
31.622,3389.28,2938.9,3884.25,3358.34,10.793,2026-06-06T03:37:44.858Z,22.622,2026-06-06T03:37:44Z,2026-06-06 03:37,down,74.21916248
31.622,3303.67,2866.96,3930.86,3400.66,10.768,2026-06-06T03:49:47.860Z,22.622,2026-06-06T03:49:47Z,2026-06-06 03:49,down,74.21916248
31.622,3364.21,2922.66,3764.31,3259.53,10.767,2026-06-06T04:01:51.127Z,22.622,2026-06-06T04:01:51Z,2026-06-06 04:01,down,74.21916248
