OID_,Waypoint,Name,WaterElevation,GainingLosing,WaterElevationFT,x,y,position
2,,P1,272.8900146,,895.3200073,488159.3105,4923094.279,"488159.310481675,4923094.27862231"
3,,P2,272.8200073,,895.0900269,488236.1366,4923079.035,"488236.136581651,4923079.03532231"
5,,P3,272.9899902,,895.6300049,488289.6405,4923075.225,"488289.640481635,4923075.22452231"
6,, P4,274.0899963,,899.2600098,488315.2873,4922973.533,"488315.287281626,4922973.53282234"
7,,P5,273.8800049,,898.5599976,488309.8092,4922841.107,"488309.809181627,4922841.10692239"
8,,C1,272.5799866,,894.289978,488159.322,4923095.989,"488159.321981676,4923095.98912231"
9,,C2 upstream,272.9299927,,895.4400024,488237.6888,4923081.029,"488237.688781651,4923081.02932231"
10,,C2 downstream,272.25,,893.210022,488236.5431,4923081.75,"488236.543081652,4923081.74952231"
11,,C3,272.9700012,,895.5700073,488289.2422,4923083.066,"488289.242181635,4923083.06562231"
12,,C4,272.8800049,,895.2910156,488320.6784,4922973.887,"488320.678381624,4922973.88672234"
13,,C5,273.6900024,,897.9500122,488320.5853,4922841.624,"488320.585281625,4922841.62402239"
