Date,Precipitation (inches),Snowfall (inches),Snow depth (inches),Maximum Fahrenheit Teperature,Minimum Fahrenheit Teperature ,Mean Fahrenheit Teperature,Mean  Celcius Teperature,,,,,count,717,706,693,627,616,597
7/1/2024,0,0,0,73,55,64,17.77777778,HASTINGS DAM 2,,,,total,60.71,51.5,441,0,0,0
7/2/2024,0.29,0,0,74,61,67.5,19.72222222,COOP - 213567,,,,average,0.08,0.1,1,59,40,49.8
7/3/2024,0,0,0,71,62,66.5,19.16666667,,,,,min,0,0,0,-6,-19,-12.5
7/4/2024,0,0,0,85,64,74.5,23.61111111,,,,,max,2.85,8,8,97,80,88
7/5/2024,0.59,0,0,69,63,66,18.88888889,,,,,median,0,0,0,64,44,54
7/6/2024,0,0,0,77,61,69,20.55555556,,,,,,,,,,,
7/7/2024,0.03,0,0,81,60,70.5,21.38888889,,,,,M = Missing,,,,,,
7/8/2024,0,0,0,82,65,73.5,23.05555556,,,,,T = Trace,,,,,,
7/9/2024,0,0,0,81,66,73.5,23.05555556,,,,,"Missing and Trace information: Time of observation may vary by station, date, and/or variable.",,,,,,
7/10/2024,0,0,0,86,65,75.5,24.16666667,,,,,M: Missing,,,,,,
7/11/2024,0,0,0,81,66,73.5,23.05555556,,,,,T: Trace,,,,,,
7/12/2024,0,0,0,86,66,76,24.44444444,,,,,Multi-day precipitation observations begin with S and end with A. A multi-day precipitation observation is included in totals only if the full sequence (Sâ€¦A or Sâ€¦Mâ€¦A) occurs within the selected period.,,,,,,
7/13/2024,0,0,0,86,69,77.5,25.27777778,,,,,Midwestern Regional Climate Center,,,,,,
7/14/2024,0.78,0,0,80,68,74,23.33333333,,,,,cli-MATE: MRCC Application Tools Environment,,,,,,
7/15/2024,0.02,0,0,89,68,78.5,25.83333333,,,,,"Generated at: Jun 24, 2026, 2:09:10 PM CDT",,,,,,
7/16/2024,0.19,0,0,85,67,76,24.44444444,,,,,,,,,,,
7/17/2024,0,0,0,81,63,72,22.22222222,,,,,,,,,,,
7/18/2024,0,0,0,75,59,67,19.44444444,,,,,,,,,,,
7/19/2024,0,0,0,79,58,68.5,20.27777778,,,,,,,,,,,
7/20/2024,0,0,0,81,62,71.5,21.94444444,,,,,,,,,,,
7/21/2024,0,0,0,84,68,76,24.44444444,,,,,,,,,,,
7/22/2024,1,0,0,79,65,72,22.22222222,,,,,,,,,,,
7/23/2024,0.13,0,0,84,64,74,23.33333333,,,,,,,,,,,
7/24/2024,0,0,0,77,62,69.5,20.83333333,,,,,,,,,,,
7/25/2024,0,0,0,77,59,68,20,,,,,,,,,,,
7/26/2024,0,0,0,81,60,70.5,21.38888889,,,,,,,,,,,
7/27/2024,0,0,0,85,66,75.5,24.16666667,,,,,,,,,,,
7/28/2024,0,0,0,90,72,81,27.22222222,,,,,,,,,,,
7/29/2024,0,0,0,88,71,79.5,26.38888889,,,,,,,,,,,
7/30/2024,0.02,0,0,88,71,79.5,26.38888889,,,,,,,,,,,
7/31/2024,0,0,0,90,71,80.5,26.94444444,,,,,,,,,,,
8/1/2024,1.56,0,0,91,67,79,26.11111111,,,,,,,,,,,
8/2/2024,0.07,0,0,78,69,73.5,23.05555556,,,,,,,,,,,
8/3/2024,0,0,0,92,67,79.5,26.38888889,,,,,,,,,,,
8/4/2024,0.08,0,0,84,65,74.5,23.61111111,,,,,,,,,,,
8/5/2024,0.01,0,0,83,68,75.5,24.16666667,,,,,,,,,,,
8/6/2024,1.21,0,0,,59,,,,,,,,,,,,,
8/7/2024,0,0,0,,58,,,,,,,,,,,,,
8/8/2024,0.04,0,0,77,59,68,20,,,,,,,,,,,
8/9/2024,0,0,0,71,60,65.5,18.61111111,,,,,,,,,,,
8/10/2024,0,0,0,70,57,63.5,17.5,,,,,,,,,,,
8/11/2024,0,0,0,74,55,64.5,18.05555556,,,,,,,,,,,
8/12/2024,0,0,0,78,55,66.5,19.16666667,,,,,,,,,,,
8/13/2024,0,0,0,81,56,68.5,20.27777778,,,,,,,,,,,
8/14/2024,0,0,0,82,59,70.5,21.38888889,,,,,,,,,,,
8/15/2024,0.68,0,0,81,64,72.5,22.5,,,,,,,,,,,
8/16/2024,0.2,0,0,82,64,73,22.77777778,,,,,,,,,,,
8/17/2024,0.05,0,0,79,67,73,22.77777778,,,,,,,,,,,
8/18/2024,0.14,0,0,78,65,71.5,21.94444444,,,,,,,,,,,
8/19/2024,0,0,0,82,61,71.5,21.94444444,,,,,,,,,,,
8/20/2024,0,0,0,80,59,69.5,20.83333333,,,,,,,,,,,
8/21/2024,0,0,0,75,62,68.5,20.27777778,,,,,,,,,,,
8/22/2024,0,0,0,77,60,68.5,20.27777778,,,,,,,,,,,
8/23/2024,0,0,0,74,60,67,19.44444444,,,,,,,,,,,
8/24/2024,0,0,0,80,64,72,22.22222222,,,,,,,,,,,
8/25/2024,0,0,0,85,66,75.5,24.16666667,,,,,,,,,,,
8/26/2024,0,0,0,86,75,80.5,26.94444444,,,,,,,,,,,
8/27/2024,0.58,0,0,93,70,81.5,27.5,,,,,,,,,,,
8/28/2024,0.35,0,0,80,64,72,22.22222222,,,,,,,,,,,
8/29/2024,0,0,0,76,63,69.5,20.83333333,,,,,,,,,,,
8/30/2024,0.81,0,0,87,66,76.5,24.72222222,,,,,,,,,,,
8/31/2024,0,0,0,79,61,70,21.11111111,,,,,,,,,,,
9/1/2024,0,0,0,84,60,72,22.22222222,,,,,,,,,,,
9/2/2024,0,0,0,74,54,64,17.77777778,,,,,,,,,,,
9/3/2024,0,0,0,75,53,64,17.77777778,,,,,,,,,,,
9/4/2024,0,0,0,77,58,67.5,19.72222222,,,,,,,,,,,
9/5/2024,0.04,0,0,80,58,69,20.55555556,,,,,,,,,,,
9/6/2024,0,0,0,,56,,,,,,,,,,,,,
9/7/2024,0,0,0,67,49,58,14.44444444,,,,,,,,,,,
9/8/2024,0,0,0,69,47,58,14.44444444,,,,,,,,,,,
9/9/2024,0,0,0,78,47,62.5,16.94444444,,,,,,,,,,,
9/10/2024,0,0,0,82,56,69,20.55555556,,,,,,,,,,,
9/11/2024,T,0,0,83,61,72,22.22222222,,,,,,,,,,,
9/12/2024,0,0,0,86,61,73.5,23.05555556,,,,,,,,,,,
9/13/2024,0,0,0,82,62,72,22.22222222,,,,,,,,,,,
9/14/2024,0,0,0,82,60,71,21.66666667,,,,,,,,,,,
9/15/2024,0.05,0,0,76,66,71,21.66666667,,,,,,,,,,,
9/16/2024,0,0,0,87,67,77,25,,,,,,,,,,,
9/17/2024,0,0,0,87,68,77.5,25.27777778,,,,,,,,,,,
9/18/2024,0,0,0,87,68,77.5,25.27777778,,,,,,,,,,,
9/19/2024,0.01,0,0,85,66,75.5,24.16666667,,,,,,,,,,,
9/20/2024,0.28,0,0,86,62,74,23.33333333,,,,,,,,,,,
9/21/2024,0,0,0,83,61,72,22.22222222,,,,,,,,,,,
9/22/2024,0,0,0,80,57,68.5,20.27777778,,,,,,,,,,,
9/23/2024,0,0,0,68,48,58,14.44444444,,,,,,,,,,,
9/24/2024,0,0,0,68,47,57.5,14.16666667,,,,,,,,,,,
9/25/2024,0,0,0,74,47,60.5,15.83333333,,,,,,,,,,,
9/26/2024,0,0,0,79,52,65.5,18.61111111,,,,,,,,,,,
9/27/2024,0,0,0,82,55,68.5,20.27777778,,,,,,,,,,,
9/28/2024,0,0,0,84,56,70,21.11111111,,,,,,,,,,,
9/29/2024,0,0,0,86,54,70,21.11111111,,,,,,,,,,,
9/30/2024,0,0,0,82,46,64,17.77777778,,,,,,,,,,,
10/1/2024,0,0,0,85,50,67.5,19.72222222,,,,,,,,,,,
10/2/2024,0,0,0,64,49,56.5,13.61111111,,,,,,,,,,,
10/3/2024,0,0,0,80,,,,,,,,,,,,,,
10/4/2024,0,0,0,65,43,54,12.22222222,,,,,,,,,,,
10/5/2024,0,0,0,68,43,55.5,13.05555556,,,,,,,,,,,
10/6/2024,0,0,0,79,42,60.5,15.83333333,,,,,,,,,,,
10/7/2024,0,0,0,,40,,,,,,,,,,,,,
10/8/2024,0,0,0,68,41,54.5,12.5,,,,,,,,,,,
10/9/2024,0,0,0,71,36,53.5,11.94444444,,,,,,,,,,,
10/10/2024,0,0,0,71,46,58.5,14.72222222,,,,,,,,,,,
10/11/2024,0,0,0,80,46,63,17.22222222,,,,,,,,,,,
10/12/2024,0,0,0,71,45,58,14.44444444,,,,,,,,,,,
10/13/2024,0,0,0,60,43,51.5,10.83333333,,,,,,,,,,,
10/14/2024,0,0,0,53,40,46.5,8.055555556,,,,,,,,,,,
10/15/2024,0,0,0,53,36,44.5,6.944444444,,,,,,,,,,,
10/16/2024,0,0,0,53,31,42,5.555555556,,,,,,,,,,,
10/17/2024,0,0,0,61,30,45.5,7.5,,,,,,,,,,,
10/18/2024,0,0,0,69,46,57.5,14.16666667,,,,,,,,,,,
10/19/2024,0,0,0,75,52,63.5,17.5,,,,,,,,,,,
