Date,Temp (C) ,SPC,Cond,TDS (ppt)
6/18/2024 0:00,20.4,502,455.8,0.2
6/22/2024 0:00,20,275.6,304.5,0.1
6/25/2024 0:00,20.7,561,611,0.3
6/27/2024 0:00,18.6,583,664,0.3
6/29/2024 0:00,19.1,341.2,303,0.16
7/3/2024 0:00,19.3,620,553,0.3
7/6/2024 0:00,20.4,566,516,0.3
7/8/2024 0:00,20.3,630,573,0.3
7/10/2024 0:00,18.8,664,584,0.3
7/16/2024 0:00,19.7,684,615,0.3
7/19/2024 0:00,18.9,691,610,0.3
7/23/2024 0:00,18.8,674,594,0.3
7/26/2024 0:00,19.9,684,617,0.3
7/28/2024 0:00,20.7,691,635,0.3
7/30/2024 0:00,20.4,691,630,0.3
8/2/2024 0:00,21.8,551,518,0.3
8/3/2024 0:00,21.5,587,548,0.3
8/31/2024 0:00,18.5,687,601,0.3
9/4/2024 0:00,17.9,692,597,0.3
9/7/2024 0:00,15.9,691,570,0.3
9/18/2024 0:00,18,704,610,0.3
9/23/2024 0:00,14.9,698,563,0.3
10/4/2024 0:00,13.7,718,561,0.4
10/7/2024 0:00,,,,
10/10/2024 0:00,14.2,713,567,0.4
10/17/2024 0:00,11.4,718,534,0.4
10/21/2024 0:00,14.9,712,574,0.3
10/24/2024 0:00,12.5,716,544,0.5
11/1/2024 0:00,10.3,662,476,0.3
10/7/2025 0:00,16,586,710,0.3
10/14/2025 0:00,15.6,558,679,0.3
10/28/2025 0:00,11.9,543,725,0.4
11/4/2025 0:00,10.4,526,730,0.4
11/11/2025 0:00,10.2,523,730,0.4
11/18/2025 0:00,7.3,736,488,0.4
1/6/2026 0:00,6.9,608,397.9,0.3
1/13/2026 0:00,4.6,1382,845,0.7
2/3/2026 0:00,5.8,834,528,0.4
2/17/2026 0:00,6.5,713,462,0.3
2/24/2026 0:00,4.1,770,463,0.4
3/3/2026 0:00,8.2,741,502,0.4
3/10/2026 0:00,7,657,431.8,0.3
3/31/2026 0:00,13,692,534,0.3
4/7/2026 0:00,10,663,473,0.3
4/14/2026 0:00,16.8,580,489,0.3
4/21/2026 0:00,14.6,710,568,0.3
4/28/2026 0:00,15.9,600,496,0.3
5/12/2026 0:00,18.3,673,587,0.3
5/19/2026 0:00,14.8,567,457,0.3
5/26/2026 0:00,20.9,646,595,0.3
6/16/2026 0:00,14.1,697,551,0.3
6/23/2026 0:00,14.8,705,568,0.3
6/30/2026 0:00,19.6,644,578,0.3
7/14/2026 0:00,18.4,670,586,0.3
7/21/2026 0:00,18.8,598,256,0.3
7/28/2026 0:00,18.3,707,617,0.3
8/4/2026 0:00,18.4,532,463,0.3
