P1elev,P1temp1,P1tempBefore,P1TempAfter,P2elev,P2TempBefore,P2TempAfter,P5elev,P5Temp,P4elev,P4TempBefore,P4TempAfter,P6elev,P6Temp
895.0867418,19,19,16.6,894.9010813,19,18.3,898.3180213,13.7,896.1359529,14.6,,798.0684333,13.2
894.9200751,18.7,18.7,16.5,894.7344146,18.9,17.9,898.1513546,13.4,895.9692863,14.3,,797.9017667,13
894.7534084,18.5,18.5,16.2,894.5677479,18.7,17.7,897.9846879,13.2,895.8026196,14,,797.7351,12.8
894.5867418,18.4,18.4,16,894.4010813,18.5,17.2,897.8180213,13.1,895.6359529,13.8,,797.5684333,12.7
894.4200751,18.3,18.3,15.6,894.2344146,18.3,17,897.6513546,13,895.4692863,13.7,,797.4017667,12.4
894.2534084,18.2,18.2,15.5,894.0677479,18,16.6,897.4846879,12.8,895.3026196,13.5,,797.2351,12.4
894.0867418,18.1,18.1,15.5,893.9010813,17.8,16.3,897.3180213,12.8,895.1359529,13.4,,797.0684333,12.4
893.9200751,18,18,15.3,893.7344146,17.5,16,897.1513546,12.7,894.9692863,13.3,,796.9017667,12.3
893.7534084,17.8,17.8,15.3,893.5677479,17.3,15.9,896.9846879,12.6,894.8026196,13.3,,796.7351,12.3
893.5867418,17.6,17.6,15.1,893.4010813,17,15.8,896.8180213,12.5,894.6359529,13.2,,796.5684333,12.1
893.4200751,17.4,17.4,15.1,893.2344146,16.8,15.8,896.6513546,12.4,894.4692863,13.1,,796.4017667,12
893.2534084,17.3,17.3,15.1,893.0677479,16.6,15.7,896.4846879,12.3,894.3026196,13,,796.2351,12
893.0867418,16.9,16.9,15.1,892.9010813,16.4,15.6,896.3180213,12.2,894.1359529,12.9,,796.0684333,11.9
892.9200751,16.7,16.7,14.9,892.7344146,16.2,15.4,896.1513546,12.2,893.9692863,12.8,,795.9017667,12
892.7534084,16.5,16.5,14.9,892.5677479,15.9,15.3,895.8180213,12.1,893.8026196,12.7,,795.5684333,11.8
892.5867418,16.3,16.3,15,892.4010813,15.8,15.2,895.7346879,12,893.6359529,12.6,,795.4851,11.8
