OID_,Waypoint,Name,WaterElevation,GainingLosing,WaterElevationFT,x,y
2,,P1,272.8900146,,895.3200073,-93.148844659999995,44.461057050000001
3,,P2,272.8200073,,895.0900269,-93.147878570000003,44.460921069999998
5,,P3,272.9899902,,895.6300049,-93.147205909999997,44.460887630000002
6,, P4,274.0899963,,899.2600098,-93.146881219999997,44.459972540000003
7,,P5,273.8800049,,898.5599976,-93.146947089999998,44.458780249999997
8,,C1,272.5799866,,894.2899780,-93.148844550000007,44.461072450000003
9,,C2 upstream,272.9299927,,895.4400024,-93.147859100000005,44.460939050000000
10,,C2 downstream,272.2500000,,893.2100220,-93.147873520000005,44.460945510000002
11,,C3,272.9700012,,895.5700073,-93.147211089999999,44.460958220000002
12,,C4,272.8800049,,895.2910156,-93.146813460000004,44.459975810000003
13,,C5,273.6900024,,897.9500122,-93.146811639999996,44.458785079999998
