OID_,Waypoint,Name,WaterElevation,GainingLosing,WaterElevationFT,x,y
2,,P1,272.8900146,,895.3200073,488159.310481675900519,4923094.278622311539948
3,,P2,272.8200073,,895.0900269,488236.136581651866436,4923079.035322317853570
5,,P3,272.9899902,,895.6300049,488289.640481635869946,4923075.224522317759693
6,, P4,274.0899963,,899.2600098,488315.287281626311596,4922973.532822347246110
7,,P5,273.8800049,,898.5599976,488309.809181627642829,4922841.106922393664718
8,,C1,272.5799866,,894.2899780,488159.321981676912401,4923095.989122311584651
9,,C2 upstream,272.9299927,,895.4400024,488237.688781651493628,4923081.029322315007448
10,,C2 downstream,272.2500000,,893.2100220,488236.543081652373075,4923081.749522317200899
11,,C3,272.9700012,,895.5700073,488289.242181635054294,4923083.065622312948108
12,,C4,272.8800049,,895.2910156,488320.678381624515168,4922973.886722349561751
13,,C5,273.6900024,,897.9500122,488320.585281625215430,4922841.624022392556071
15,,P6,272.8900146,,895.3099976,488143.262181681522634,4922894.252922378480434
