Date,PrecipitationIN,PrecipitationCM
7/23/2024,0.29,0.7366
7/24/2024,0.02,0.0508
7/25/2024,0,0
7/26/2024,0,0
7/27/2024,0,0
7/28/2024,0,0
7/29/2024,0,0
7/30/2024,0.02,0.0508
7/31/2024,0,0
8/1/2024,2.6,6.604
8/2/2024,0.1,0.254
8/3/2024,0,0
8/4/2024,0.1,0.254
8/5/2024,0.04,0.1016
8/6/2024,1,2.54
8/7/2024,0.01,0.0254
8/8/2024,0.02,0.0508
8/9/2024,0,0
8/10/2024,0,0
8/11/2024,0,0
8/12/2024,0,0
8/13/2024,0,0
8/14/2024,0,0
8/15/2024,1.1,2.794
8/16/2024,0,0
8/17/2024,0.27,0.6858
8/18/2024,0.1,0.254
8/19/2024,0,0
8/20/2024,0,0
8/21/2024,0,0
8/22/2024,0,0
8/23/2024,0,0
8/24/2024,0,0
8/25/2024,0,0
8/26/2024,0,0
8/27/2024,0.18,0.4572
8/28/2024,0,0
8/29/2024,0,0
8/30/2024,0.5,1.27
8/31/2024,0,0
9/1/2024,0,0
9/2/2024,0,0
9/3/2024,0,0
9/4/2024,0,0
9/5/2024,0,0
9/6/2024,0,0
9/7/2024,0.1,0.254
9/8/2024,0,0
9/9/2024,0,0
9/10/2024,0,0
9/11/2024,0,0
9/12/2024,0,0
9/13/2024,0,0
9/14/2024,,0
9/15/2024,,0
9/16/2024,0,0
9/17/2024,0,0
9/18/2024,0,0
9/19/2024,0,0
9/20/2024,0.15,0.381
9/21/2024,0,0
9/22/2024,0,0
9/23/2024,0,0
9/24/2024,0,0
9/25/2024,0.02,0.0508
9/26/2024,0,0
9/27/2024,0,0
9/28/2024,0,0
9/29/2024,0,0
9/30/2024,0,0
10/1/2024,0,0
10/2/2024,0,0
10/3/2024,0,0
10/4/2024,0,0
10/5/2024,0,0
10/6/2024,0,0
10/7/2024,0,0
10/8/2024,0,0
10/9/2024,0,0
10/10/2024,0,0
10/11/2024,0,0
10/12/2024,0,0
10/13/2024,0,0
10/14/2024,0,0
10/15/2024,0,0
10/16/2024,0,0
10/17/2024,0,0
10/18/2024,0,0
10/19/2024,0,0
10/20/2024,0,0
10/21/2024,0,0
10/22/2024,0,0
10/23/2024,0,0
10/24/2024,0,0
10/25/2024,0.22,0.5588
10/26/2024,0,0
10/27/2024,0,0
10/28/2024,0,0
10/29/2024,0,0
10/30/2024,0,0
10/31/2024,0.79,2.0066
11/1/2024,0.27,0.6858
11/2/2024,0,0
11/3/2024,0,0
11/4/2024,0.5,1.27
11/5/2024,0.1,0.254
11/6/2024,0.42,1.0668
11/7/2024,0,0
11/8/2024,0,0
11/9/2024,0,0
11/10/2024,0.2,0.508
11/11/2024,0.08,0.2032
11/12/2024,0,0
11/13/2024,0,0
11/14/2024,0.11,0.2794
11/15/2024,0,0
11/16/2024,0,0
11/17/2024,0,0
11/18/2024,0,0
11/19/2024,1.21,3.0734
11/20/2024,0,0
11/21/2024,0.06,0.1524
11/22/2024,0,0
11/23/2024,0,0
11/24/2024,0,0
11/25/2024,0,0
11/26/2024,0,0
11/27/2024,0,0
11/28/2024,0,0
11/29/2024,0,0
11/30/2024,0,0
12/1/2024,0,0
12/2/2024,0.03,0.0762
12/3/2024,0,0
12/4/2024,0,0
12/5/2024,0,0
12/6/2024,0,0
12/7/2024,0,0
12/8/2024,0,0
12/9/2024,0,0
12/10/2024,0,0
12/11/2024,0.01,0.0254
12/12/2024,0,0
12/13/2024,0,0
12/14/2024,0,0
12/15/2024,0.05,0.127
12/16/2024,0,0
12/17/2024,0,0
12/18/2024,0.01,0.0254
12/19/2024,0.19,0.4826
12/20/2024,0.18,0.4572
12/21/2024,0,0
12/22/2024,0,0
12/23/2024,0,0
12/24/2024,0,0
12/25/2024,0,0
12/26/2024,0,0
12/27/2024,0.1,0.254
12/28/2024,0.65,1.651
12/29/2024,0,0
12/30/2024,0,0
12/31/2024,0,0
1/1/2025,0,0
1/2/2025,0,0
1/3/2025,0,0
1/4/2025,0,0
1/5/2025,0,0
1/6/2025,0,0
1/7/2025,0,0
1/8/2025,0,0
1/9/2025,0,0
1/10/2025,0.05,0.127
1/11/2025,0.01,0.0254
1/12/2025,0.02,0.0508
1/13/2025,,0
1/14/2025,0,0
1/15/2025,0,0
1/16/2025,,0
1/17/2025,0,0
1/18/2025,0,0
1/19/2025,0,0
1/20/2025,0,0
1/21/2025,0,0
1/22/2025,0,0
1/23/2025,0,0
1/24/2025,0,0
1/25/2025,0,0
1/26/2025,0,0
1/27/2025,0,0
1/28/2025,0,0
1/29/2025,0,0
1/30/2025,0,0
1/31/2025,0,0
2/1/2025,0,0
2/2/2025,,0
2/3/2025,,0
2/4/2025,0,0
2/5/2025,0,0
2/6/2025,0.03,0.0762
2/7/2025,0,0
2/8/2025,0,0
2/9/2025,0.09,0.2286
2/10/2025,0,0
2/11/2025,,0
2/12/2025,0,0
2/13/2025,0.04,0.1016
2/14/2025,0,0
2/15/2025,0.09,0.2286
2/16/2025,0,0
2/17/2025,0,0
2/18/2025,0,0
2/19/2025,0,0
2/20/2025,0,0
2/21/2025,0,0
2/22/2025,0,0
2/23/2025,0,0
2/24/2025,0,0
2/25/2025,0.01,0.0254
2/26/2025,0,0
2/27/2025,0,0
2/28/2025,0,0
3/1/2025,0,0
3/2/2025,0,0
3/3/2025,0,0
3/4/2025,,0
3/5/2025,1.2,3.048
3/6/2025,,0
3/7/2025,0,0
3/8/2025,0,0
3/9/2025,0,0
3/10/2025,0,0
3/11/2025,0,0
3/12/2025,0,0
3/13/2025,0,0
3/14/2025,0,0
3/15/2025,0.25,0.635
3/16/2025,,0
3/17/2025,0,0
3/18/2025,0,0
3/19/2025,0,0
3/20/2025,0,0
3/21/2025,0,0
3/22/2025,0,0
3/23/2025,0,0
3/24/2025,0,0
3/25/2025,0,0
3/26/2025,0,0
3/27/2025,0,0
3/28/2025,0,0
3/29/2025,0,0
3/30/2025,1.91,4.8514
3/31/2025,0.46,1.1684
4/1/2025,0,0
4/2/2025,0.43,1.0922
4/3/2025,0.08,0.2032
4/4/2025,0,0
4/5/2025,,0
4/6/2025,0,0
4/7/2025,0,0
4/8/2025,0,0
4/9/2025,0,0
4/10/2025,0,0
4/11/2025,0,0
4/12/2025,0,0
4/13/2025,0,0
4/14/2025,0,0
4/15/2025,0,0
4/16/2025,0,0
4/17/2025,0,0
4/18/2025,0.9,2.286
4/19/2025,0,0
4/20/2025,0,0
4/21/2025,0.73,1.8542
4/22/2025,0.31,0.7874
4/23/2025,0,0
4/24/2025,0,0
4/25/2025,0.7,1.778
4/26/2025,,0
4/27/2025,0.1,0.254
4/28/2025,,0
4/29/2025,0.28,0.7112
4/30/2025,0,0
5/1/2025,,0
5/2/2025,0.23,0.5842
5/3/2025,,0
5/4/2025,0,0
5/5/2025,0,0
5/6/2025,0,0
5/7/2025,0,0
5/8/2025,0,0
5/9/2025,0,0
5/10/2025,0,0
5/11/2025,0,0
5/12/2025,0,0
5/13/2025,0,0
5/14/2025,0,0
5/15/2025,0,0
5/16/2025,0.1,0.254
5/17/2025,0.19,0.4826
5/18/2025,0,0
5/19/2025,0,0
5/20/2025,1.55,3.937
5/21/2025,1.3,3.302
5/22/2025,0.1,0.254
5/23/2025,0,0
5/24/2025,0,0
5/25/2025,0,0
5/26/2025,0,0
5/27/2025,,0
5/28/2025,0.17,0.4318
5/29/2025,,0
5/30/2025,0.04,0.1016
5/31/2025,0,0
6/1/2025,0,0
6/2/2025,0,0
6/3/2025,0.29,0.7366
6/4/2025,0.84,2.1336
6/5/2025,,0
6/6/2025,0.03,0.0762
6/7/2025,0,0
6/8/2025,0.03,0.0762
6/9/2025,0.04,0.1016
6/10/2025,0.02,0.0508
6/11/2025,0,0
6/12/2025,0.01,0.0254
6/13/2025,1.6,4.064
6/14/2025,0,0
6/15/2025,0.2,0.508
6/16/2025,0.1,0.254
6/17/2025,0.49,1.2446
6/18/2025,0,0
6/19/2025,0,0
6/20/2025,0.27,0.6858
6/21/2025,0,0
6/22/2025,0,0
6/23/2025,,0
6/24/2025,0,0
6/25/2025,0,0
6/26/2025,0.95,2.413
6/27/2025,0.85,2.159
6/28/2025,0.06,0.1524
6/29/2025,0.1,0.254
6/30/2025,0.01,0.0254
7/1/2025,0.02,0.0508
7/2/2025,0,0
7/3/2025,0.27,0.6858
7/4/2025,0,0
7/5/2025,0.65,1.651
7/6/2025,0.69,1.7526
7/7/2025,0,0
7/8/2025,0.12,0.3048
7/9/2025,0,0
7/10/2025,0.08,0.2032
7/11/2025,0.05,0.127
7/12/2025,0,0
7/13/2025,0,0
7/14/2025,0,0
7/15/2025,0,0
7/16/2025,1.72,4.3688
7/17/2025,0.17,0.4318
7/18/2025,0,0
7/19/2025,0.1,0.254
7/20/2025,0,0
7/21/2025,0,0
7/22/2025,0.62,1.5748
7/23/2025,0,0
7/24/2025,1.46,3.7084
7/25/2025,0.06,0.1524
7/26/2025,0,0
7/27/2025,0,0
7/28/2025,0.61,1.5494
7/29/2025,0.83,2.1082
7/30/2025,0,0
7/31/2025,0,0
8/1/2025,0,0
8/2/2025,0,0
8/3/2025,0,0
8/4/2025,0,0
8/5/2025,0,0
8/6/2025,0.08,0.2032
8/7/2025,0,0
8/8/2025,0,0
8/9/2025,0.34,0.8636
8/10/2025,,0
8/11/2025,0,0
8/12/2025,0,0
8/13/2025,0,0
8/14/2025,0,0
8/15/2025,0,0
8/16/2025,0.07,0.1778
8/17/2025,0.85,2.159
8/18/2025,1.3,3.302
8/19/2025,0.2,0.508
8/20/2025,0,0
8/21/2025,0,0
8/22/2025,0,0
8/23/2025,0,0
8/24/2025,0,0
8/25/2025,0,0
8/26/2025,0,0
8/27/2025,0,0
8/28/2025,0.55,1.397
8/29/2025,0,0
8/30/2025,0.02,0.0508
8/31/2025,0,0
9/1/2025,0,0
9/2/2025,0,0
9/3/2025,,0
9/4/2025,0,0
9/5/2025,0.19,0.4826
9/6/2025,0,0
9/7/2025,0.36,0.9144
9/8/2025,,0
9/9/2025,0,0
9/10/2025,0.28,0.7112
9/11/2025,0,0
9/12/2025,0,0
9/13/2025,,0
9/14/2025,0,0
9/15/2025,0,0
9/16/2025,,0
9/17/2025,0,0
9/18/2025,,0
9/19/2025,0.55,1.397
9/20/2025,0.06,0.1524
9/21/2025,0,0
9/22/2025,1.28,3.2512
9/23/2025,0,0
9/24/2025,0,0
9/25/2025,0,0
9/26/2025,0,0
9/27/2025,0,0
9/28/2025,0,0
9/29/2025,0,0
9/30/2025,0,0
10/1/2025,0,0
10/2/2025,0,0
10/3/2025,0,0
10/4/2025,0,0
10/5/2025,0,0
10/6/2025,0.2,0.508
10/7/2025,0,0
10/8/2025,0,0
10/9/2025,0,0
10/10/2025,,0
10/11/2025,0,0
10/12/2025,0,0
10/13/2025,0.06,0.1524
10/14/2025,0,0
10/15/2025,0.8,2.032
10/16/2025,0.04,0.1016
10/17/2025,0.01,0.0254
10/18/2025,0,0
10/19/2025,0.02,0.0508
10/20/2025,0,0
10/21/2025,0.08,0.2032
10/22/2025,,0
10/23/2025,0,0
10/24/2025,0,0
10/25/2025,0.12,0.3048
10/26/2025,0,0
10/27/2025,0,0
10/28/2025,0.12,0.3048
10/29/2025,0.08,0.2032
10/30/2025,0,0
10/31/2025,,0
11/1/2025,,0
11/2/2025,,0
11/3/2025,0,0
11/4/2025,0,0
11/5/2025,0,0
11/6/2025,0,0
11/7/2025,0,0
11/8/2025,0.09,0.2286
11/9/2025,,0
11/10/2025,0,0
11/11/2025,0,0
11/12/2025,0,0
11/13/2025,0,0
11/14/2025,0,0
11/15/2025,0,0
11/16/2025,0,0
11/17/2025,0,0
11/18/2025,0.48,1.2192
11/19/2025,,0
11/20/2025,,0
11/21/2025,0,0
11/22/2025,0,0
11/23/2025,0,0
11/24/2025,0,0
11/25/2025,0.04,0.1016
11/26/2025,,0
11/27/2025,0,0
11/28/2025,0,0
11/29/2025,0.02,0.0508
11/30/2025,0.35,0.889
12/1/2025,0,0
12/2/2025,0.01,0.0254
12/3/2025,0.01,0.0254
12/4/2025,0,0
12/5/2025,0,0
12/6/2025,,0
12/7/2025,,0
12/8/2025,,0
12/9/2025,,0
12/10/2025,0.24,0.6096
12/11/2025,0.01,0.0254
12/12/2025,0,0
12/13/2025,,0
12/14/2025,0,0
12/15/2025,0,0
12/16/2025,0,0
12/17/2025,0,0
12/18/2025,0.08,0.2032
12/19/2025,0.01,0.0254
12/20/2025,0,0
12/21/2025,0,0
12/22/2025,0.03,0.0762
12/23/2025,0,0
12/24/2025,0,0
12/25/2025,0,0
12/26/2025,0,0
12/27/2025,0,0
12/28/2025,0,0
12/29/2025,,0
12/30/2025,0,0
12/31/2025,0,0
1/1/2026,0.01,0.0254
1/2/2026,0,0
1/3/2026,0,0
1/4/2026,0,0
1/5/2026,0,0
1/6/2026,0.15,0.381
1/7/2026,0,0
1/8/2026,0,0
1/9/2026,0.26,0.6604
1/10/2026,0.01,0.0254
1/11/2026,,0
1/12/2026,0,0
1/13/2026,0,0
1/14/2026,0,0
1/15/2026,0,0
1/16/2026,0,0
1/17/2026,0.06,0.1524
1/18/2026,,0
1/19/2026,,0
1/20/2026,0,0
1/21/2026,0.06,0.1524
1/22/2026,0.08,0.2032
1/23/2026,0,0
1/24/2026,0,0
1/25/2026,0,0
1/26/2026,0,0
1/27/2026,0,0
1/28/2026,0,0
1/29/2026,0,0
1/30/2026,0,0
1/31/2026,0,0
2/1/2026,0.1,0.254
2/2/2026,0.02,0.0508
2/3/2026,0,0
2/4/2026,0,0
2/5/2026,0,0
2/6/2026,0,0
2/7/2026,0,0
2/8/2026,0,0
2/9/2026,0,0
2/10/2026,0,0
2/11/2026,0,0
2/12/2026,,0
2/13/2026,0,0
2/14/2026,0,0
2/15/2026,0,0
2/16/2026,0,0
2/17/2026,0,0
2/18/2026,0.16,0.4064
2/19/2026,0.36,0.9144
2/20/2026,0,0
2/21/2026,0,0
2/22/2026,0,0
2/23/2026,0,0
2/24/2026,0,0
2/25/2026,,0
2/26/2026,0,0
2/27/2026,0,0
2/28/2026,,0
3/1/2026,0.08,0.2032
3/2/2026,0,0
3/3/2026,0,0
3/4/2026,0,0
3/5/2026,,0
3/6/2026,0.21,0.5334
3/7/2026,0.38,0.9652
3/8/2026,,0
3/9/2026,0,0
3/10/2026,0,0
3/11/2026,0.02,0.0508
