Date,Temp (C) ,SPC,Cond,TDS (ppt)
7/8/2024 0:00:00,19.9,637,577,0.3
7/10/2024 0:00:00,18,633,549,0.3
7/16/2024 0:00:00,19.7,660,593,0.3
7/19/2024 0:00:00,18.6,678,595,0.3
7/23/2024 0:00:00,18.4,658,577,0.3
7/26/2024 0:00:00,19.7,666,599,0.3
7/28/2024 0:00:00,20.2,689,626,0.3
7/30/2024 0:00:00,20.1,693,628,0.3
8/2/2024 0:00:00,21.5,552,516,0.3
8/3/2024 0:00:00,21.3,592,550,0.3
8/31/2024 0:00:00,18.5,664,581,0.3
9/4/2024 0:00:00,17.8,690,596,0.3
9/7/2024 0:00:00,15.9,691,568,0.3
9/18/2024 0:00:00,18.1,702,608,0.3
9/23/2024 0:00:00,15.1,702,567,0.3
10/4/2024 0:00:00,14.6,708,567,0.3
10/10/2024 0:00:00,14.3,663,528,0.3
10/17/2024 0:00:00,12.3,539,407.6,0.3
10/21/2024 0:00:00,15.3,391.5,319.2,0.2
10/24/2024 0:00:00,13,643,497,0.3
11/1/2024 0:00:00,11.1,671,492,0.3
9/30/2025 0:00:00,17.6,592,689,0.3
10/7/2025 0:00:00,16.4,575,686,0.3
10/14/2025 0:00:00,12.4,553,728,0.4
10/28/2025 0:00:00,10.6,530,730,0.4
11/4/2025 0:00:00,10.3,525,730,0.4
11/11/2025 0:00:00,7.5,733,489,0.4
11/18/2025 0:00:00,7.2,618,407,0.3
1/6/2026 0:00:00,4.8,1326,816,0.7
1/13/2026 0:00:00,5.8,810,514,0.4
2/3/2026 0:00:00,3.3,779,455,0.4
2/17/2026 0:00:00,6.8,713,466,0.3
2/24/2026 0:00:00,4.5,765,465,0.4
3/3/2026 0:00:00,8.7,748,515,0.4
3/10/2026 0:00:00,7.2,657,434.2,0.3
3/31/2026 0:00:00,13.1,688,532,0.3
4/7/2026 0:00:00,10,660,472,0.3
4/14/2026 0:00:00,16.8,592,500,0.3
4/21/2026 0:00:00,17.1,693,588,0.3
4/28/2026 0:00:00,15.9,603,498,0.3
5/12/2026 0:00:00,18.6,673,589,0.3
5/19/2026 0:00:00,14.4,574,459,0.3
5/26/2026 0:00:00,19.4,656,585,0.3
6/16/2026 0:00:00,13.1,710,549,0.3
6/23/2026 0:00:00,13.6,712,557,0.3
6/30/2026 0:00:00,18.6,654,574,0.3
7/14/2026 0:00:00,17.4,681,580,0.3
7/27/2026 0:00:00,18,612,531,0.3
