ft,in,decimalfeet,P1elev,P1temp1,P1tempBefore,P1TempAfter,P2elev,P2TempBefore,P2TempAfter,P5elev,P5Temp,P4elev,P4TempBefore,P4TempAfter,P6elev,P6Temp
5,6,5.5,895.0867418,19,19,16.6,895.4010813,,,905.4846879,,899.1359529,,,,
5,8,5.666666667,894.9200751,18.7,18.7,16.5,895.2344146,,,905.3180213,,898.9692863,,,,
5,10,5.833333333,894.7534084,18.5,18.5,16.2,895.0677479,,,905.1513546,,898.8026196,,,,
6,0,6,894.5867418,18.4,18.4,16,894.9010813,19,18.3,904.9846879,,898.6359529,,,,
6,2,6.166666667,894.4200751,18.3,18.3,15.6,894.7344146,18.9,17.9,904.8180213,,898.4692863,,,,
6,4,6.333333333,894.2534084,18.2,18.2,15.5,894.5677479,18.7,17.7,904.6513546,,898.3026196,,,,
6,6,6.5,894.0867418,18.1,18.1,15.5,894.4010813,18.5,17.2,904.4846879,,898.1359529,,,,
6,8,6.666666667,893.9200751,18,18,15.3,894.2344146,18.3,17,904.3180213,,897.9692863,,,,
6,10,6.833333333,893.7534084,17.8,17.8,15.3,894.0677479,18,16.6,904.1513546,,897.8026196,,,,
7,0,7,893.5867418,17.6,17.6,15.1,893.9010813,17.8,16.3,903.9846879,,897.6359529,,,,
7,2,7.166666667,893.4200751,17.4,17.4,15.1,893.7344146,17.5,16,903.8180213,,897.4692863,,,,
7,4,7.333333333,893.2534084,17.3,17.3,15.1,893.5677479,17.3,15.9,903.6513546,,897.3026196,,,,
7,6,7.5,893.0867418,16.9,16.9,15.1,893.4010813,17,15.8,903.4846879,,897.1359529,,,,
7,8,7.666666667,892.9200751,16.7,16.7,14.9,893.2344146,16.8,15.8,903.3180213,,896.9692863,,,,
7,10,7.833333333,892.7534084,16.5,16.5,14.9,893.0677479,16.6,15.7,903.1513546,,896.8026196,,,,
8,0,8,892.5867418,16.3,16.3,15,892.9010813,16.4,15.6,902.9846879,,896.6359529,,,,
8,2,8.166666667,892.4200751,16.1,16.1,14.9,892.7344146,16.2,15.4,902.8180213,,896.4692863,,,,
8,4,8.333333333,892.2534084,15.9,15.9,14.8,892.5677479,15.9,15.3,902.6513546,,896.3026196,,,,
8,6,8.5,892.0867418,15.8,15.8,14.8,892.4010813,15.8,15.2,902.4846879,,896.1359529,14.6,,,
8,8,8.666666667,891.9200751,15.7,15.7,14.7,892.2344146,15.6,15.1,902.3180213,,895.9692863,14.3,,,
8,10,8.833333333,891.7534084,15.5,15.5,14.7,892.0677479,15.4,15,902.1513546,,895.8026196,14,,,
9,0,9,891.5867418,15.4,15.4,14.6,891.9010813,15.2,14.9,901.9846879,,895.6359529,13.8,,,
9,2,9.166666667,891.4200751,15.1,15.1,14.6,891.7344146,15.1,14.7,901.8180213,,895.4692863,13.7,,,
9,4,9.333333333,891.2534084,14.9,14.9,14.6,891.5677479,15,14.6,901.6513546,,895.3026196,13.5,,,
9,6,9.5,891.0867418,14.7,14.7,14.6,891.4010813,14.8,14.6,901.4846879,,895.1359529,13.4,,,
9,8,9.666666667,890.9200751,14.5,14.5,14.5,891.2344146,14.8,14.5,901.3180213,,894.9692863,13.3,,,
9,10,9.833333333,890.7534084,14.3,14.3,14.5,891.0677479,14.6,14.3,901.1513546,,894.8026196,13.3,,,
10,0,10,890.5867418,14.2,14.2,14.4,890.9010813,14.4,14.2,900.9846879,,894.6359529,13.2,,,
10,2,10.16666667,890.4200751,14,14,14.2,890.7344146,14.2,14.2,900.8180213,,894.4692863,13.1,,,
10,4,10.33333333,890.2534084,14,14,14.1,890.5677479,14.1,14,900.6513546,,894.3026196,13,,,
10,6,10.5,890.0867418,13.9,13.9,14.1,890.4010813,14,14,900.4846879,,894.1359529,12.9,,,
10,8,10.66666667,889.9200751,13.8,14,14,890.2344146,13.9,13.9,900.3180213,,893.9692863,12.8,,,
10,10,10.83333333,889.7534084,13.7,14,14,890.0677479,13.7,13.8,900.1513546,,893.8026196,12.7,,,
11,0,11,889.5867418,13.6,13.9,13.9,889.9010813,13.6,13.7,899.9846879,,893.6359529,12.6,,,
11,2,11.16666667,889.4200751,13.5,13.8,13.9,889.7344146,13.5,13.7,899.8180213,,893.4692863,12.6,,,
11,4,11.33333333,889.2534084,13.4,13.7,13.8,889.5677479,13.4,13.7,899.6513546,,893.3026196,12.4,,,
11,6,11.5,889.0867418,13.2,13.5,13.7,889.4010813,13.3,13.7,899.4846879,,893.1359529,12.3,,,
11,8,11.66666667,888.9200751,,,,889.2344146,,,899.3180213,,892.9692863,,,,
11,10,11.83333333,888.7534084,,,,889.0677479,,,899.1513546,,892.8026196,,,,
12,0,12,888.5867418,,,,888.9010813,,,898.9846879,,892.6359529,,,,
12,2,12.16666667,888.4200751,,,,888.7344146,,,898.8180213,,892.4692863,,,,
12,4,12.33333333,888.2534084,,,,888.5677479,,,898.6513546,,892.3026196,,,,
12,6,12.5,888.0867418,,,,888.4010813,,,898.4846879,,892.1359529,,,,
12,8,12.66666667,887.9200751,,,,888.2344146,,,898.3180213,13.7,891.9692863,,,,13.2
12,10,12.83333333,887.7534084,,,,888.0677479,,,898.1513546,13.4,891.8026196,,,,13
13,0,13,887.5867418,,,,887.9010813,,,897.9846879,13.2,891.6359529,,,,12.8
13,2,13.16666667,887.4200751,,,,887.7344146,,,897.8180213,13.1,891.4692863,,,,12.7
13,4,13.33333333,887.2534084,,,,887.5677479,,,897.6513546,13,891.3026196,,,,12.4
13,6,13.5,887.0867418,,,,887.4010813,,,897.4846879,12.8,891.1359529,,,,12.4
13,8,13.66666667,886.9200751,,,,887.2344146,,,897.3180213,12.8,890.9692863,,,,12.4
13,10,13.83333333,886.7534084,,,,887.0677479,,,897.1513546,12.7,890.8026196,,,,12.3
14,0,14,886.5867418,,,,886.9010813,,,896.9846879,12.6,890.6359529,,,,12.3
14,2,14.16666667,886.4200751,,,,886.7344146,,,896.8180213,12.5,890.4692863,,,,12.1
14,4,14.33333333,886.2534084,,,,886.5677479,,,896.6513546,12.4,890.3026196,,,,12
14,6,14.5,886.0867418,,,,886.4010813,,,896.4846879,12.3,890.1359529,,,,12
14,8,14.66666667,885.9200751,,,,886.2344146,,,896.3180213,12.2,889.9692863,,,,11.9
14,10,14.83333333,885.7534084,,,,886.0677479,,,896.1513546,12.2,889.8026196,,,,12
