Date,Precipitation (inches),Snowfall (inches),Snow depth (inches),Maximum Fahrenheit Temperature,Minimum Fahrenheit Temperature ,Mean Fahrenheit Temperature,Mean  Celcius Temperature,,count,724,715,702,633,623,603
2024-11-01,1,T,0,44,31,37.5,3.055555556,,total,61.92,51.5,441,0,0,0
2024-11-02,0,0,0,45,30,37.5,3.055555556,,average,0.09,0.1,1,59,40,50
2024-11-03,0,0,0,57,M,M,#VALUE!,,min,0,0,0,-6,-19,-12.5
2024-11-04,0.05,0,0,52,47,49.5,9.722222222,,max,2.85,8,8,97,80,88
2024-11-05,0.32,0,0,61,47,54,12.22222222,,median,0,0,0,64,44,54
2024-11-06,0.26,0,0,47,36,41.5,5.277777778,,,,,,,,
2024-11-07,0,0,0,48,28,38,3.333333333,,M = Missing,,,,,,
2024-11-08,0,0,0,50,36,43,6.111111111,,T = Trace,,,,,,
2024-11-09,0,0,0,57,35,46,7.777777778,,"Missing and Trace information: Time of observation may vary by station, date, and/or variable.",,,,,,
2024-11-10,0.13,0,0,53,38,45.5,7.5,,M: Missing,,,,,,
2024-11-11,0.11,0,0,51,40,45.5,7.5,,T: Trace,,,,,,
2024-11-12,0,0,0,47,30,38.5,3.611111111,,Multi-day precipitation observations begin with S and end with A. A multi-day precipitation observation is included in totals only if the full sequence (S…A or S…M…A) occurs within the selected period.,,,,,,
2024-11-13,0,0,0,47,30,38.5,3.611111111,,Midwestern Regional Climate Center,,,,,,
2024-11-14,0.04,0,0,46,38,42,5.555555556,,cli-MATE: MRCC Application Tools Environment,,,,,,
2024-11-15,0,0,0,46,36,41,5,,"Generated at: Jun 22, 2026, 4:35:59 PM CDT",,,,,,
2024-11-16,0,0,0,54,34,44,6.666666667,,,,,,,,
2024-11-17,0,0,0,51,41,46,7.777777778,,,,,,,,
2024-11-18,0,0,0,52,34,43,6.111111111,,,,,,,,
2024-11-19,0.9,0,0,55,34,44.5,6.944444444,,,,,,,,
2024-11-20,0,0,0,55,35,45,7.222222222,,,,,,,,
2024-11-21,0.05,0.1,0,35,28,31.5,-0.277777778,,,,,,,,
2024-11-22,0,0,0,41,32,36.5,2.5,,,,,,,,
2024-11-23,0,0,0,37,M,M,#VALUE!,,,,,,,,
2024-11-24,0,0,0,40,32,36,2.222222222,,,,,,,,
2024-11-25,0,0,0,41,36,38.5,3.611111111,,,,,,,,
2024-11-26,0,0,0,36,19,27.5,-2.5,,,,,,,,
2024-11-27,0,0,0,29,17,23,-5,,,,,,,,
2024-11-28,0,0,0,26,20,23,-5,,,,,,,,
2024-11-29,T,T,0,24,16,20,-6.666666667,,,,,,,,
2024-11-30,0,0,0,21,8,14.5,-9.722222222,,,,,,,,
