Date,MeanTempF,MeanTempC
7/1/2024,64,17.77777778
7/2/2024,67.5,19.72222222
7/3/2024,66.5,19.16666667
7/4/2024,74.5,23.61111111
7/5/2024,66,18.88888889
7/6/2024,69,20.55555556
7/7/2024,70.5,21.38888889
7/8/2024,73.5,23.05555556
7/9/2024,73.5,23.05555556
7/10/2024,75.5,24.16666667
7/11/2024,73.5,23.05555556
7/12/2024,76,24.44444444
7/13/2024,77.5,25.27777778
7/14/2024,74,23.33333333
7/15/2024,78.5,25.83333333
7/16/2024,76,24.44444444
7/17/2024,72,22.22222222
7/18/2024,67,19.44444444
7/19/2024,68.5,20.27777778
7/20/2024,71.5,21.94444444
7/21/2024,76,24.44444444
7/22/2024,72,22.22222222
7/23/2024,74,23.33333333
7/24/2024,69.5,20.83333333
7/25/2024,68,20
7/26/2024,70.5,21.38888889
7/27/2024,75.5,24.16666667
7/28/2024,81,27.22222222
7/29/2024,79.5,26.38888889
7/30/2024,79.5,26.38888889
7/31/2024,80.5,26.94444444
8/1/2024,79,26.11111111
8/2/2024,73.5,23.05555556
8/3/2024,79.5,26.38888889
8/4/2024,74.5,23.61111111
8/5/2024,75.5,24.16666667
8/6/2024,,-17.77777778
8/7/2024,,-17.77777778
8/8/2024,68,20
8/9/2024,65.5,18.61111111
8/10/2024,63.5,17.5
8/11/2024,64.5,18.05555556
8/12/2024,66.5,19.16666667
8/13/2024,68.5,20.27777778
8/14/2024,70.5,21.38888889
8/15/2024,72.5,22.5
8/16/2024,73,22.77777778
8/17/2024,73,22.77777778
8/18/2024,71.5,21.94444444
8/19/2024,71.5,21.94444444
8/20/2024,69.5,20.83333333
8/21/2024,68.5,20.27777778
8/22/2024,68.5,20.27777778
8/23/2024,67,19.44444444
8/24/2024,72,22.22222222
8/25/2024,75.5,24.16666667
8/26/2024,80.5,26.94444444
8/27/2024,81.5,27.5
8/28/2024,72,22.22222222
8/29/2024,69.5,20.83333333
8/30/2024,76.5,24.72222222
8/31/2024,70,21.11111111
9/1/2024,72,22.22222222
9/2/2024,64,17.77777778
9/3/2024,64,17.77777778
9/4/2024,67.5,19.72222222
9/5/2024,69,20.55555556
9/6/2024,,-17.77777778
9/7/2024,58,14.44444444
9/8/2024,58,14.44444444
9/9/2024,62.5,16.94444444
9/10/2024,69,20.55555556
9/11/2024,72,22.22222222
9/12/2024,73.5,23.05555556
9/13/2024,72,22.22222222
9/14/2024,71,21.66666667
9/15/2024,71,21.66666667
9/16/2024,77,25
9/17/2024,77.5,25.27777778
9/18/2024,77.5,25.27777778
9/19/2024,75.5,24.16666667
9/20/2024,74,23.33333333
9/21/2024,72,22.22222222
9/22/2024,68.5,20.27777778
9/23/2024,58,14.44444444
9/24/2024,57.5,14.16666667
9/25/2024,60.5,15.83333333
9/26/2024,65.5,18.61111111
9/27/2024,68.5,20.27777778
9/28/2024,70,21.11111111
9/29/2024,70,21.11111111
9/30/2024,64,17.77777778
10/1/2024,67.5,19.72222222
