,,,BEFORE PUMP,,,,,,,,,,,,,AFTER PUMP,,,,,,,,,Creek YSI,,,,,Creek YSI Upstream of Culvert,,,,,Culvert YSI,,,,,,
Well,Date,Depth to water (ft),Before pump: Temp (°C) top,Before pump: Temp (°C) bottom,Before pump: SPC top  (µS),Before pump: SPC bottom (µS),Before pump: Cond (µS) top,Before pump: Cond (µS) bottom,Before pump: Salinity top (ppt),Before pump: Salinity bottom (ppt),,,Pump time (min),Recharge time (min),,After pump: Temp (°C) top,After pump: Temp (°C) bottom,After pump: SPC top (µS),After pump: SPC bottom (µS),After pump: Cond (µS) top,After pump: Cond (µS) bottom,After pump: Salinity top (ppt),After pump: Salinity bottom (ppt),,Creek: Temp (°C) ,Creek: SPC (µS) ,Creek: Cond (µS) ,Creek: Salinity (ppt),,Temp (°C),Cond (µS) ,SPC (µS),Salinity (ppt),,Temp (°C),Cond (µS) ,SPC (µS),Salinity (ppt),,Notes,Filtering method 
P1,11/11/2025,5.09,13,15,867,848,667,686,0.4,0.4,,,1:00.00*,0:47.29,,13,14,821,799,633,634,0.4,0.4,,7.5,733,489,0.4,,,,,,,,,,,,"*Couldn't pump well dry, wasn't able to measure the DTW at start of recharge time","1 (put filter on syringe, extract water from sample tube, get air out, release into final mini sample tube, water passes through filter twice)"
P1,11/18/25,5.11,12.2,14.2,865,850,655,674,0.4,0.4,,,1:00.00*,0:45.68,,12.8,14.5,803,828,615,661,0.4,0.4,,7.2,618,407,0.3,,,,,,,,,,,,"*Couldn't pump well dry, well recharged 0.09ft in 0:45.68",1
P1,01/06/2026,*,6.1,9.2,824,823,526,576,0.4,0.4,,,*,*,,*,*,*,*,*,*,*,*,,4.8,1326,816,0.7,,,,,,,,,,,,"*pump not working so not able to take after measurments, was cold and wet and forgot to do DTW",1
P1,1/13/26,5.17,6,8.9,830,819,530,566,0.4,0.4,,,1:02.00,~00:34.00*,,7.2,8.9,812,810,538,561,0.4,0.4,,5.8,810,514,0.4,,,,,,,,,,,,"*Didn't pump dry, recharge time was a few seconds more than 34--forgot to start timing right away. Air temp today: 6 degrees F",1
P1,2/3/26,5.31,3.3,7.5,829,822,485,548,0.4,0.4,,,1:00.00*,00:54.0,,4.5,7.4,805,813,490,538,0.4,0.4,,3.3,779,455,0.4,,,,,,,,,,,,*well didn't pump dry,1
P1,2/17/26,5.22,2.8,6.7,791,821,456,534,0.4,0.4,,,1:00.00*,00:51.88,,4.4,6.5,806,816,491,528,0.4,0.4,,6.8,713,466,0.3,,,,,,,,,,,,*well didn't pump dry,1
P1,2/24/26,5.27,2.7,6.3,827,819,476,525,0.4,0.4,,,1:00.00,1:56.48,,4.3,6.1,802,814,485,522,0.3,0.4,,4.5,765,465,0.4,,,,,,,,,,,,,1
P1,3/3/26,5.3,3.2,6,834,820,492,522,0.4,0.4,,,1:00.00,02:14.00*,,4,5.9,801,816,481,518,0.4,0.4,,8.7,748,515,0.4,,,,,,,,,,,,"well didn't pump dry, *measured recharge time likely longer than actual, we held the DTW meter at incorrect height to accurately measure",1
P1,3/10/26,5.29,2.8,5.6,834,824,483,518,0.4,0.4,,,1:00.00,01:30.00*,,3.9,5.5,801,804,481,504,0.4,0.4,,7.2,657,434.2,0.3,,,,,,,,,,,,"well didn't pump dry, *measured recharge time likely longer than actual, we held the DTW meter at incorrect height to accurately measure",1
P1,3/31/26,5.29,5.8,5.4,834,848,528,532,0.4,0.4,,,01:15.00,00:53.49,,6,5.3,810,812,504,507,0.4,0.4,,13.1,688,532,0.3,,,,,,,,,,,,well didn't pump dry,"2 (extract water with just syringe, then put filter on right before you release into mini sample bottle)"
P1,4/7/26,5.23,5.3,5.5,825,850,506,533,0.4,0.5,,,01:00.00,1:03.17,,5.6,5.4,788,805,498,504,0.4,0.4,,10,660,472,0.3,,,,,,,,,,,,well didn't pump dry,1
P1,4/14/26,,7.3,5.6,844,875,561,552,0.4,0.4,,,01:00.00,00:34.00,,6.9,5.5,828,828,535,520,0.4,0.4,,16.8,592,500,0.3,,,,,,,,,,,,PIC1 (temp sensor in creek next to P1 not fully submerged),2
P1,4/21/26,5.23,8.1,5.8,856,877,582,557,0.4,0.4,,,01:00.00,01:19.16,,7.5,6.7,836,826,555,538,0.4,0.4,,17.1,693,588,0.3,,,,,,,,,,,,"well didn't pump dry, lots of algae on the surface of the water at the downstream sensor. Today we dug out the cinder blocks for the downstream sensor, which were burried on one side so water wasn't flowing through. Now sensor is open to flow on both sides. We also measured YSI next to the well 1, which is in the notebook",2
P1,4/28/26,5.21,9.1,7.3,839,838,588,555,0.4,0.4,,,01:00.00,00:59.88,,7.8,6.2,812,831,546,534,0.4,0.4,,15.9,603,498,0.3,,,,,,,,,,,,"well didn't pump dry, lots of algae on the surface of the water at the downstream sensor. We also measured YSI next to the well 1, which is in the notebook",
