Well,Date,Depth to water,Temp top before,Temp bottom before,SPC top before,SPC bottom before,Cond top before ,Cond bottom before ,Salinity top before,Salinity bottom before,Pump time,Recharge time,Temp top after,Temp bottom after,SPC top after,SPC bottom after,Cond top after,Cond bottom after,Salinity top after,Salinity bottom after,Notes
P2,6/18/2024 0:00:00,,16.1,, ,,,,0.4,,,,,,,,,,,,
P2,6/22/2024 0:00:00,,21.6,,3.9,,,,0,,,,,,,,,,,,
P2,6/25/2024 0:00:00,,17.7,,564,,,,0.3,,,,,,,,,,,,
P2,6/27/2024 0:00:00,,17.3,,503,,,,0.3,,,,,,,,,,,,
P2,6/29/2024 0:00:00,,17.7,,647,,,,0.31,,,,,,,,,,,,
P2,7/3/2024 0:00:00,,17.1,,468.9,,,,0.2,,,,,,,,,,,,
P2,7/6/2024 0:00:00,,16.5,,416,,,,0.2,,,,,,,,,,,,
P2,7/8/2024 0:00:00,,17.3,,396,,,,0.2,,,,,,,,,,,,
P2,7/10/2024 0:00:00,,17.8,,368.1,,,,0.2,,,,,,,,,,,,
P2,7/16/2024 0:00:00,,17.7,,304,,,,0.1,,,,,,,,,,,,
P2,7/19/2024 0:00:00,,17.7,,290,,,,0.1,,,,,,,,,,,,
P2,7/23/2024 0:00:00,,16.9,,269.1,,,,0.1,,,,,,,,,,,,
P2,7/26/2024 0:00:00,,17.1,,258.5,,,,0.1,,,,,,,,,,,,
P2,7/28/2024 0:00:00,,18.1,,252.6,,,,0.1,,,,,,,,,,,,
P2,7/30/2024 0:00:00,,18.1,,246.2,,,,0.1,,,,,,,,,,,,
P2,8/2/2024 0:00:00,,18.2,,247,,,,0.1,,,,,,,,,,,,
P2,8/3/2024 0:00:00,,18.3,,249.7,,,,0.1,,,,,,,,,,,,
P2,8/31/2024 0:00:00,,17.8,,214.6,,,,0.1,,,,,,,,,,,,
P2,9/4/2024 0:00:00,,18.3,,210.1,,,,0.1,,,,,,,,,,,,
P2,9/7/2024 0:00:00,,18,,110.6,,,,0.1,,,,,,,,,,,,
P2,9/18/2024 0:00:00,,17.7,,196,,,,0.1,,,,,,,,,,,,
P2,9/23/2024 0:00:00,,17.6,,196.1,,,,0.1,,,,,,,,,,,,
P2,10/4/2024 0:00:00,,16.8,,196.4,,,,0.1,,,,,,,,,,,,
P2,10/7/2024 0:00:00,,16.2,,194.7,,,,0.1,,,,,,,,,,,,
P2,10/10/2024 0:00:00,,15.6,,477.9,,,,0.2,,,,,,,,,,,,
P2,10/17/2024 0:00:00,,14.6,,423.1,,,,0.2,,,,,,,,,,,,
P2,10/21/2024 0:00:00,,14.6,,394.9,,,,0.2,,,,,,,,,,,,
P2,10/24/2024 0:00:00,,14.5,,379.4,,,,0.2,,,,,,,,,,,,
P2,11/1/2024 0:00:00,,13.8,,353.6,,,,0.3,,,,,,,,,,,,
P2,9/16/2025 0:00:00,5.61,17.7,,517,,438.5,,,0.3,00:27.73,8:15.42,17.6,,647,,752,,0.4,,Couldn't collect hobo data from creek sensor near well 2
P2,9/30/2025 0:00:00,5.56,18.2,15.7,668,746,582,613,0.4,0.3,00:16.19,8:41.00,17.8,15.9,656,616,760,745,0.4,0.4,
P2,10/7/2025 0:00:00,5.53,18.2,17.3,726,739,631,631,0.4,0.4,00.18.54,9.05.00,17.7,17,670,657,778,775,0.4,0.4,
P2,10/14/2025 0:00:00,5.59,15.7,16,742,747,610,618,0.4,0.4,0:17.45,8:17.51,15.8,15.9,638,645,775,780,0.4,0.4,"Not at bottom, 6.5ft into well"
P2,10/28/2025 0:00:00,5.56,13.7,14.1,755,755,593,600,0.4,0.4,0:23.04,10:20.00,13.9,14.1,616,625,781,788,0.4,0.4,Not at bottom--At 7.1ft down from top of well
P2,11/4/2025 0:00:00,5.57,13.1,13.8,791,783,611,615,0.4,0.4,0:30.00,7:00.82,13.4,13.9,619,621,795,788,0.4,0.4,
P2,11/11/2025 0:00:00,5.59,11.8,12.9,792,790,529,608,0.4,0.4,0:29.68,7:50.14,12.3,13.1,795,788,603,610,0.4,0.4,
P2,11/18/2025 0:00:00,5.59,10.9,12.3,799,800,584,606,0.4,0.4,00:17.53,07:04.82,11.2,12.4,789,794,580,663,0.4,0.4,
P2,1/6/2026 0:00:00,,5.8,8,769,776,487,524,0.4,0.4,,,,,,,,,,,
P2,1/13/2026 0:00:00,5.61,5.7,7.8,766,774,483,519,0.4,0.4,00:12.91,8:59.00,6.1,7.7,762,770,488,517,0.4,0.4,
P2,2/17/2026 0:00:00,5.72,3.8,6.5,755,756,451.7,489,0.4,0.4,00:18.51,06:27.20,4.5,6.2,764,756,466,486,0.4,0.4,
P2,2/24/2026 0:00:00,5.77,3.8,6.2,771,765,459,490,0.4,0.4,00:20.85,04:33.39,4.4,5.9,764,763,465,485,0.4,0.4,
P2,3/3/2026 0:00:00,5.8,3.9,6.1,776,763,466,488,0.4,0.4,00:16.23,05:53.01,4.9,6.1,770,751,477,480,0.4,0.4,
P2,3/10/2026 0:00:00,5.79,4.6,6,781,771,476,491,0.4,0.4,00:14.15,05:34.68,4.9,5.9,766,755,472,481,0.4,0.4,
P2,3/31/2026 0:00:00,5.77,7,6.7,796,786,526,509,0.4,0.4,00:12.45,05:55.94,7.3,6.7,785,757,522,492,0.4,0.4,
P2,4/7/2026 0:00:00,5.72,6.5,6.8,775,773,501,504,0.4,0.4,00:15.70,05:17.16,6.5,6.8,759,759,491,495,0.4,0.4,
P2,4/14/2026 0:00:00,5.69,8.7,7.1,783,786,539,517,0.4,0.4,00:09.80,04:52.27,8.7,7.22,784,765,537,506,0.4,0.4,
P2,4/21/2026 0:00:00,5.72,9.7,8.4,791,796,565,544,0.4,0.4,00:13.54,05:34.83,9.4,7.7,809,796,570,534,0.4,0.4,
P2,4/28/2026 0:00:00,5.67,10.4,8,790,797,567,537,0.4,0.4,00:13.67,06:08.37,9.7,8.1,792,778,562,529,0.4,0.4,
P2,5/12/2026 0:00:00,5.81,10.5,8.6,776,794,564,547,0.4,0.4,00:19.61,04:54.54,10.3,8.7,785,786,564,541,0.4,0.4,
P2,5/19/2026 0:00:00,5.72,11,8.9,791,800,580,554,0.4,0.4,00:10.95,04:28.23,10.6,9,792,787,575,574,0.4,0.4,
P2,5/26/2026 0:00:00,5.76,13,9.3,789,796,607,559,0.4,0.4,00:10.76,05:44.35,12.7,9.6,787,785,602,555,0.4,0.4,
P2,6/16/2026 0:00:00,5.68,14.7,10.7,777,794,624,577,0.4,0.4,00:13.86,7:20.00,13.7,11.1,779,778,612,571,0.4,0.4,
P2,6/23/2026 0:00:00,5.8,14.7,13.3,783,780,630,605,0.4,0.4,0:17.86,5:43.00,14.4,13,778,770,620,595,0.4,0.4,
