Date,Temp (C) ,SPC,Cond,TDS (ppt)
7/16/2024 0:00:00,19.1,695,615,0.3
7/19/2024 0:00:00,19.6,693,621,0.3
7/23/2024 0:00:00,19.3,675,604,0.3
7/26/2024 0:00:00,20.7,682,626,0.3
7/28/2024 0:00:00,21.4,695,646,0.3
7/30/2024 0:00:00,21.4,695,647,0.3
8/2/2024 0:00:00,22.2,541,513,0.3
8/3/2024 0:00:00,22.4,577,550,0.3
8/31/2024 0:00:00,19.1,681,603,0.3
9/4/2024 0:00:00,18.8,678,597,0.3
9/7/2024 0:00:00,16.4,680,569,0.3
9/18/2024 0:00:00,18.2,702,609,0.3
9/23/2024 0:00:00,,699,567,0.3
10/4/2024 0:00:00,13.8,718,565,0.4
10/7/2024 0:00:00,,,,
10/10/2024 0:00:00,14.5,704,564,0.3
10/17/2024 0:00:00,11.2,734,540,0.4
10/21/2024 0:00:00,14.9,722,585,0.4
10/24/2024 0:00:00,12.5,719,547,0.4
11/1/2024 0:00:00,10.3,654,471,0.3
10/7/2025 0:00:00,16,582,703,0.3
10/14/2025 0:00:00,16,564,681,0.3
10/28/2025 0:00:00,12.2,538,711,0.3
11/4/2025 0:00:00,10.8,527,724,0.4
11/11/2025 0:00:00,10.5,521,721,0.4
11/18/2025 0:00:00,7.4,731,484,0.4
1/6/2026 0:00:00,6.6,603,391,0.3
1/13/2026 0:00:00,4.2,1472,888,0.7
2/3/2026 0:00:00,5.4,831,520,0.4
2/17/2026 0:00:00,6.2,451,704,0.3
2/24/2026 0:00:00,3.8,779,463,0.4
3/3/2026 0:00:00,7.4,734,488,0.4
3/10/2026 0:00:00,7.2,646,420.1,0.3
3/31/2026 0:00:00,13,678,522,0.3
4/7/2026 0:00:00,9.8,654,464,0.3
4/14/2026 0:00:00,16.8,564,476,0.3
4/21/2026 0:00:00,16.6,686,575,0.3
4/28/2026 0:00:00,15.7,591,486,0.3
5/12/2026 0:00:00,18.2,659,574,0.3
5/19/2026 0:00:00,15.2,546,444.5,0.3
5/26/2026 0:00:00,19.9,643,580,0.3
6/16/2026 0:00:00,14.5,681,544,0.3
6/23/2026 0:00:00,15.5,686,567,0.3
6/30/2026 0:00:00,20.4,615,561,0.3
7/14/2026 0:00:00,18.3,654,578,0.3
7/27/2026 0:00:00,19.5,545,491,0.3
