Date-Time,Specific Conductivity,Manual: SPC bottom before
2025-09-16T14:01:29Z,798.5,
2025-09-30T13:46:29Z,808.1,796
2025-10-07T13:16:29Z,810.7,795
2025-10-14T13:46:29Z,816.7,809
2025-10-28T13:46:29Z,846.8,844
2025-11-04T13:46:29Z,854.4,845
2025-11-11T13:46:29Z,857.4,848
2025-11-18T13:46:29Z,860.3,850
2026-02-03T13:59:59Z,738.7970581,822
2026-02-17T14:29:59Z,736.9039307,821
2026-02-24T14:44:59Z,733.8926392,819
2026-03-03T14:44:59Z,734.6921387,820
2026-03-10T14:29:59Z,734.65979,824
2026-03-31T16:14:59Z,726.8887329,848
2026-04-07T15:44:59Z,725.4233398,850
2026-04-14T16:14:59Z,723.7523804,875
2026-04-21T14:59:59Z,726.0878296,877
2026-04-28T14:59:59Z,680.2390747,838
2026-05-12T14:59:59Z,739.2034302,872
2026-05-19T16:14:59Z,740.7837524,864
2026-05-26T14:44:59Z,732.6873169,871
2026-06-16T09:29:59Z,736.8186646,868
2026-06-23T09:59:59Z,740.9106445,833
