"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","depth_m","datetime","label","leg"
0.101,3504.88,3436.54,2851.77,2832.12,22.543,"2026-05-02T11:59:36.502Z",0.101,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
0.355,3295.38,3183.73,3055.83,2968.48,19.239,"2026-05-02T11:59:36.502Z",0.355,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
0.609,3250.22,3094.2,3237.66,3072.99,15.919,"2026-05-02T11:59:36.502Z",0.609,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
0.864,3252.57,3059.49,3308.69,3102.1,13.831,"2026-05-02T11:59:36.502Z",0.864,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
1.118,3250.99,3054.07,3315.11,3088.22,13.175,"2026-05-02T11:59:36.502Z",1.118,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
1.372,3248.16,3054.56,3312.68,3075.22,12.966,"2026-05-02T11:59:36.502Z",1.372,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
1.626,3242.46,3040.03,3313.31,3077.4,12.755,"2026-05-02T11:59:36.502Z",1.626,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
1.88,3237.11,3028.76,3312.86,3073.48,12.484,"2026-05-02T11:59:36.502Z",1.88,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
2.135,3237.11,3034.23,3310.74,3063.47,12.415,"2026-05-02T11:59:36.502Z",2.135,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
2.389,3237,3040.5,3311.09,3064.82,12.621,"2026-05-02T11:59:36.502Z",2.389,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
2.643,3234.81,3038.58,3313.71,3074.41,12.822,"2026-05-02T11:59:36.502Z",2.643,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
2.897,3230.94,3032.41,3315.25,3078.58,12.827,"2026-05-02T11:59:36.502Z",2.897,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
3.151,3228.29,3028.55,3315.03,3076.58,12.739,"2026-05-02T11:59:36.502Z",3.151,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
3.406,3227.44,3033.41,3314.44,3074.47,12.854,"2026-05-02T11:59:36.502Z",3.406,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
3.66,3229.88,3049.47,3315.43,3078.77,13.332,"2026-05-02T11:59:36.502Z",3.66,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
3.914,3227.93,3049.3,3318.85,3091.78,13.65,"2026-05-02T11:59:36.502Z",3.914,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
4.168,3219.74,3020.57,3321.74,3100.71,13.232,"2026-05-02T11:59:36.502Z",4.168,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
4.422,3212.28,2993.79,3319.43,3086.44,12.342,"2026-05-02T11:59:36.502Z",4.422,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
4.677,3210.47,2987.18,3313.6,3059.49,11.612,"2026-05-02T11:59:36.502Z",4.677,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
4.931,3213.42,2999.62,3310.45,3046.42,11.604,"2026-05-02T11:59:36.502Z",4.931,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
5.185,3217.99,3021.4,3312.32,3053.44,12.24,"2026-05-02T11:59:36.502Z",5.185,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
5.439,3217.73,3025.77,3317.39,3072.54,12.767,"2026-05-02T11:59:36.502Z",5.439,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
5.693,3211.76,3008.74,3321.3,3086.07,12.719,"2026-05-02T11:59:36.502Z",5.693,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
5.948,3205.88,2993.02,3320.59,3079.35,12.265,"2026-05-02T11:59:36.502Z",5.948,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
6.202,3202.66,2986.63,3317.48,3063.99,11.827,"2026-05-02T11:59:36.502Z",6.202,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
6.456,3200.79,2984.8,3315.94,3056.46,11.657,"2026-05-02T11:59:36.502Z",6.456,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
