#,Date-Time (CST/CDT),"Temperature (W-CT 22414702), °C","Electrical Conductivity (W-CT 22414702), µS/cm","Specific Conductivity (W-CT 22414702), µS/cm","Salinity (W-CT 22414702), PSU","Total Dissolved Solids (W-CT 22414702), mg/L"
1,01/27/2026 15:14:59,-2.67,0.0,0.0,0.00,0.00
2,01/27/2026 15:29:59,6.88,452.2,730.1,0.34,293.93
3,01/27/2026 15:44:59,7.16,457.2,731.2,0.34,297.17
4,01/27/2026 15:59:59,7.11,458.1,733.8,0.34,297.75
5,01/27/2026 16:14:59,7.13,457.2,731.9,0.34,297.21
6,01/27/2026 16:29:59,7.08,456.8,732.5,0.34,296.92
7,01/27/2026 16:44:59,7.07,456.1,731.7,0.34,296.48
8,01/27/2026 16:59:59,7.09,456.2,731.2,0.34,296.54
9,01/27/2026 17:14:59,7.08,456.8,732.4,0.34,296.93
10,01/27/2026 17:29:59,7.12,456.7,731.4,0.34,296.87
11,01/27/2026 17:44:59,7.07,457.2,733.2,0.34,297.18
12,01/27/2026 17:59:59,7.08,456.8,732.5,0.34,296.95
13,01/27/2026 18:14:59,7.05,457.2,733.9,0.34,297.20
14,01/27/2026 18:29:59,7.10,457.6,733.2,0.34,297.46
15,01/27/2026 18:44:59,7.13,457.8,732.8,0.34,297.57
16,01/27/2026 18:59:59,7.09,457.6,733.3,0.34,297.42
17,01/27/2026 19:14:59,7.14,457.7,732.4,0.34,297.53
18,01/27/2026 19:29:59,7.09,458.4,734.8,0.34,297.97
19,01/27/2026 19:44:59,7.10,457.7,733.4,0.34,297.53
20,01/27/2026 19:59:59,7.13,457.6,732.4,0.34,297.44
21,01/27/2026 20:14:59,7.11,458.7,734.8,0.34,298.13
22,01/27/2026 20:29:59,7.09,459.0,735.8,0.34,298.38
23,01/27/2026 20:44:59,7.13,458.4,733.9,0.34,297.99
24,01/27/2026 20:59:59,7.16,458.7,733.4,0.34,298.14
25,01/27/2026 21:14:59,7.11,458.1,733.7,0.34,297.78
26,01/27/2026 21:29:59,7.05,458.8,736.3,0.34,298.20
27,01/27/2026 21:44:59,7.11,458.9,735.2,0.34,298.30
28,01/27/2026 21:59:59,7.13,458.6,734.0,0.34,298.09
29,01/27/2026 22:14:59,7.13,458.9,734.6,0.34,298.28
30,01/27/2026 22:29:59,7.13,458.7,734.3,0.34,298.14
31,01/27/2026 22:44:59,7.13,458.3,733.5,0.34,297.88
32,01/27/2026 22:59:59,7.12,458.5,734.2,0.34,297.99
33,01/27/2026 23:14:59,7.11,459.4,735.8,0.34,298.60
34,01/27/2026 23:29:59,7.12,459.2,735.4,0.34,298.50
35,01/27/2026 23:44:59,7.09,458.6,735.1,0.34,298.09
36,01/27/2026 23:59:59,7.07,458.5,735.3,0.34,298.01
37,01/28/2026 00:14:59,7.10,458.4,734.4,0.34,297.97
38,01/28/2026 00:29:59,7.10,458.5,734.6,0.34,298.01
39,01/28/2026 00:44:59,7.13,458.5,733.8,0.34,298.01
40,01/28/2026 00:59:59,7.13,459.1,735.0,0.34,298.43
41,01/28/2026 01:14:59,7.08,458.5,735.1,0.34,298.03
42,01/28/2026 01:29:59,7.07,459.0,736.1,0.34,298.33
43,01/28/2026 01:44:59,7.08,458.2,734.8,0.34,297.85
44,01/28/2026 01:59:59,7.17,458.4,732.8,0.34,297.96
45,01/28/2026 02:14:59,7.10,458.3,734.3,0.34,297.89
46,01/28/2026 02:29:59,7.15,458.7,733.7,0.34,298.12
47,01/28/2026 02:44:59,7.12,458.5,734.3,0.34,298.02
48,01/28/2026 02:59:59,7.07,457.8,734.2,0.34,297.60
49,01/28/2026 03:14:59,7.09,458.6,735.0,0.34,298.07
50,01/28/2026 03:29:59,7.14,458.3,733.3,0.34,297.91
51,01/28/2026 03:44:59,7.11,458.1,733.8,0.34,297.77
52,01/28/2026 03:59:59,7.13,458.4,733.6,0.34,297.95
53,01/28/2026 04:14:59,7.10,458.0,733.7,0.34,297.67
54,01/28/2026 04:29:59,7.10,458.2,734.1,0.34,297.82
55,01/28/2026 04:44:59,7.08,457.6,733.8,0.34,297.44
56,01/28/2026 04:59:59,7.10,458.0,733.8,0.34,297.70
57,01/28/2026 05:14:59,7.11,458.3,734.1,0.34,297.90
58,01/28/2026 05:29:59,7.09,458.2,734.3,0.34,297.80
59,01/28/2026 05:44:59,7.12,458.1,733.5,0.34,297.74
60,01/28/2026 05:59:59,7.11,457.9,733.5,0.34,297.62
61,01/28/2026 06:14:59,7.07,457.5,733.8,0.34,297.36
62,01/28/2026 06:29:59,7.10,457.3,732.8,0.34,297.26
63,01/28/2026 06:44:59,7.10,457.7,733.4,0.34,297.53
64,01/28/2026 06:59:59,7.10,458.3,734.4,0.34,297.90
65,01/28/2026 07:14:59,7.12,458.0,733.4,0.34,297.68
66,01/28/2026 07:29:59,7.11,457.7,733.1,0.34,297.48
67,01/28/2026 07:44:59,7.09,457.5,733.2,0.34,297.36
68,01/28/2026 07:59:59,7.14,457.9,732.6,0.34,297.62
69,01/28/2026 08:14:59,7.10,457.9,733.7,0.34,297.65
70,01/28/2026 08:29:59,7.08,457.4,733.4,0.34,297.30
71,01/28/2026 08:44:59,7.07,458.3,735.0,0.34,297.92
72,01/28/2026 08:59:59,7.08,458.2,734.8,0.34,297.85
73,01/28/2026 09:14:59,7.09,457.5,733.3,0.34,297.38
74,01/28/2026 09:29:59,7.13,457.9,733.0,0.34,297.60
75,01/28/2026 09:44:59,7.06,457.5,734.1,0.34,297.37
76,01/28/2026 09:59:59,7.13,457.8,732.7,0.34,297.54
77,01/28/2026 10:14:59,7.05,457.2,733.7,0.34,297.15
78,01/28/2026 10:29:59,7.07,457.2,733.3,0.34,297.21
79,01/28/2026 10:44:59,7.07,457.2,733.4,0.34,297.19
80,01/28/2026 10:59:59,7.12,458.3,733.8,0.34,297.91
81,01/28/2026 11:14:59,7.09,457.1,732.7,0.34,297.14
82,01/28/2026 11:29:59,7.02,457.6,735.2,0.34,297.42
83,01/28/2026 11:44:59,7.07,457.8,734.3,0.34,297.58
84,01/28/2026 11:59:59,7.09,457.6,733.6,0.34,297.45
85,01/28/2026 12:14:59,7.08,457.0,732.7,0.34,297.05
86,01/28/2026 12:29:59,7.07,458.0,734.7,0.34,297.67
87,01/28/2026 12:44:59,7.07,457.4,733.6,0.34,297.33
88,01/28/2026 12:59:59,7.10,457.9,733.8,0.34,297.67
89,01/28/2026 13:14:59,7.09,457.3,733.0,0.34,297.27
90,01/28/2026 13:29:59,7.05,457.0,733.4,0.34,297.04
91,01/28/2026 13:44:59,7.12,457.2,732.0,0.34,297.16
92,01/28/2026 13:59:59,7.12,457.5,732.6,0.34,297.38
93,01/28/2026 14:14:59,7.07,457.3,733.5,0.34,297.27
94,01/28/2026 14:29:59,7.11,457.4,732.7,0.34,297.30
95,01/28/2026 14:44:59,7.05,456.9,733.5,0.34,297.01
96,01/28/2026 14:59:59,7.04,457.2,734.1,0.34,297.17
97,01/28/2026 15:14:59,7.02,457.1,734.4,0.34,297.15
98,01/28/2026 15:29:59,7.05,457.0,733.6,0.34,297.05
99,01/28/2026 15:44:59,7.08,456.6,732.1,0.34,296.79
100,01/28/2026 15:59:59,7.05,456.7,733.0,0.34,296.88
