Date,Temp (C) ,SPC,Cond,TDS (ppt),Temp upstream of culvert (C) ,SPC upstream of culvert,Cond upstream of culvert,TDS upstream of culvert (ppt),Temp in culvert (C) ,SPC in culvert,Cond in culvert,TDS in culvert (ppt)
6/25/2024 0:00:00,21.3,564,607,0.3,,,,,,,,
6/27/2024 0:00:00,,,,,,,,,,,,
6/29/2024 0:00:00,19.2,341.8,303.8,0.2,,,,,,,,
7/6/2024 0:00:00,20.8,562,517,0.3,,,,,,,,
7/8/2024 0:00:00,21.1,623,576,0.3,,,,,,,,
7/10/2024 0:00:00,20,654,592,0.3,,,,,,,,
7/16/2024 0:00:00,20.7,674,619,0.3,,,,,,,,
7/19/2024 0:00:00,19.9,685,619,0.3,,,,,,,,
7/23/2024 0:00:00,19.8,671,604,0.3,,,,,,,,
7/26/2024 0:00:00,21,682,630,0.3,,,,,,,,
7/28/2024 0:00:00,22.2,688,650,0.3,,,,,,,,
7/30/2024 0:00:00,21.7,652,609,0.3,,,,,,,,
8/2/2024 0:00:00,22.6,540,515,0.3,,,,,,,,
8/3/2024 0:00:00,13,441.9,340,0.2,,,,,,,,
8/31/2024 0:00:00,19.5,671,601,0.3,,,,,,,,
9/4/2024 0:00:00,19.8,663,597,0.3,,,,,,,,
9/7/2024 0:00:00,16.6,677,569,0.3,,,,,,,,
9/18/2024 0:00:00,18.8,692,610,0.3,,,,,,,,
9/23/2024 0:00:00,15.1,693,563,0.3,,,,,,,,
10/4/2024 0:00:00,13.5,713,556,0.4,,,,,,,,
10/21/2024 0:00:00,,,,,,,,,,,,
10/10/2024 0:00:00,14.7,702,563,0.3,,,,,,,,
10/17/2024 0:00:00,11.3,701,515,0.3,,,,,,,,
10/21/2024 0:00:00,15,706,571,0.3,,,,,,,,
11/1/2024 0:00:00,10.2,649,466,0.3,,,,,,,,
9/30/2025 0:00:00,16.2,577,695,0.3,,,,,,,,
10/7/2025 0:00:00,15,549,678,0.3,,,,,,,,
10/14/2025 0:00:00,12.3,,630,0.3,,,,,,,,
10/28/2025 0:00:00,10.8,528,721,0.4,,,,,,,,
11/4/2025 0:00:00,10.2,518,722,0.3,,,,,,,,
11/11/2025 0:00:00,6.9,729,477,0.4,,,,,,,,
11/18/2025 0:00:00,6.4,621,400,0.3,,,,,,,,
1/6/2026 0:00:00,4.1,1465,879,0.7,,,,,,,,
1/13/2026 0:00:00,5.1,813,504,0.4,5.2,505,812,0.4,1.4,505,812,0.4
2/3/2026 0:00:00,,,,,,,,,,,,
2/17/2026 0:00:00,5.8,687,433,0.3,5.8,446,702,0.3,2.3,174.5,309,0.1
2/24/2026 0:00:00,3.6,772,455,0.4,3.4,453.6,775,0.4,4.3,1556,2658,1.3
3/3/2026 0:00:00,7,715,471,0.3,6.9,478,729,0.4,2.2,215.4,383.4,0.2
3/10/2026 0:00:00,7.2,630,408.3,0.3,6.2,405.2,629,0.3,6.6,590,908,0.4
3/31/2026 0:00:00,12.9,651,500,0.3,12.9,500,649,0.3,,,,
4/7/2026 0:00:00,9.7,642,454.8,0.3,9.7,453.4,640,0.3,,,,
4/14/2026 0:00:00,16.7,560,472,0.3,16.9,470,556,0.3,11,527,722,0.4
4/21/2026 0:00:00,16.6,677,569,0.3,16.7,569,676,0.3,,,,
4/28/2026 0:00:00,15.9,577,477,0.3,15.9,477,576,0.3,10.9,542,741,0.4
5/12/2026 0:00:00,18.4,644,564,0.3,18.5,564,644,0.3,11.4,574,783,0.4
5/19/2026 0:00:00,15.5,536,438.7,0.3,15.6,436.9,532,0.3,11.1,579,787,0.4
5/26/2026 0:00:00,21,614,567,0.3,21.1,567,613,0.3,12.9,595,777,0.4
6/16/2026 0:00:00,14.7,668,537,0.3,14.9,665,537,0.3,,,,
6/23/2026 0:00:00,16.8,673,567,0.3,16.9,672,568,0.3,,,,
6/30/2026 0:00:00,21.9,595,557,0.3,22.1,591,559,0.3,,,,
