Date,Temp (C) ,SPC,Cond,TDS (ppt)
6/25/2024 0:00:00,20.4,557,611,0.3
6/27/2024 0:00:00,18.4,579,664,0.3
6/29/2024 0:00:00,19.1,342,303.9,0.17
7/3/2024 0:00:00,19.3,622,553,0.3
7/6/2024 0:00:00,20.1,565,510,0.3
7/8/2024 0:00:00,19.8,618,557,0.3
7/10/2024 0:00:00,18.4,661,577,0.3
7/16/2024 0:00:00,19.3,664,594,0.3
7/19/2024 0:00:00,18.3,685,598,0.3
7/23/2024 0:00:00,18.3,664,580,0.3
7/26/2024 0:00:00,19.1,671,596,0.3
7/28/2024 0:00:00,19.3,691,617,0.3
7/30/2024 0:00:00,19.3,692,615,0.3
8/2/2024 0:00:00,21.4,552,515,0.3
8/3/2024 0:00:00,20.9,572,528,0.3
8/31/2024 0:00:00,17.4,686,585,0.3
9/4/2024 0:00:00,18,687,596,0.3
9/7/2024 0:00:00,15.3,682,556,0.3
9/18/2024 0:00:00,17.7,700,594,0.3
9/23/2024 0:00:00,14.5,698,558,0.3
10/4/2024 0:00:00,13.5,714,557,0.4
10/7/2024 0:00:00,,,,
10/10/2024 0:00:00,14,711,567,0.3
10/17/2024 0:00:00,11.3,711,524,0.3
10/21/2024 0:00:00,14.3,712,565,0.3
10/24/2024 0:00:00,12.4,692,526,0.3
11/1/2024 0:00:00,10.3,661,475,0.3
9/30/2025 0:00:00,15.5,575,703,0.3
10/7/2025 0:00:00,15.7,544,661,0.3
10/14/2025 0:00:00,12,544,723,0.4
10/28/2025 0:00:00,10.7,528,727,0.4
11/4/2025 0:00:00,10.3,524,729,0.4
11/11/2025 0:00:00,7.5,735,488,0.4
11/18/2025 0:00:00,6.9,609,398.2,0.3
1/6/2026 0:00:00,4.5,1406,858,0.7
1/13/2026 0:00:00,5.8,832,528,0.4
2/3/2026 0:00:00,,,,
2/17/2026 0:00:00,6.5,708,458,0.3
2/24/2026 0:00:00,4.2,465,772,0.4
3/3/2026 0:00:00,7.9,737,497,0.4
3/10/2026 0:00:00,7.2,655,430.1,0.3
3/31/2026 0:00:00,12.7,686,525,0.3
4/7/2026 0:00:00,9.9,662,473,0.3
4/14/2026 0:00:00,16.7,575,484,0.3
4/21/2026 0:00:00,16.2,699,580,0.3
4/28/2026 0:00:00,15.5,603,495,0.3
5/12/2026 0:00:00,17.8,670,580,0.3
5/19/2026 0:00:00,14.7,568,456,0.3
5/26/2026 0:00:00,18,671,584,0.3
6/16/2026 0:00:00,14.2,697,553,0.3
6/23/2026 0:00:00,15.4,702,573,0.3
6/30/2026 0:00:00,19.4,645,577,0.3
7/14/2026 0:00:00,17.9,676,583,0.3
