Well,Date,Depth to water,Temp top before,Temp bottom before,SPC top before,SPC bottom before,Cond top before ,Cond bottom before ,TDS top before,TDS bottom before,Pump time,Recharge time,Temp top after,Temp bottom after,SPC top after,SPC bottom after,Cond top after,Cond bottom after,TDS top after,TDS bottom after,Notes
P4,7/16/2024 0:00:00,,14.8,,331.1,,,,0.2,,,,,,,,,,,,
P4,7/19/2024 0:00:00,,14.3,,263.6,,,,0.1,,,,,,,,,,,,
P4,7/23/2024 0:00:00,,14.3,,223,,,,0.1,,,,,,,,,,,,
P4,7/26/2024 0:00:00,,14.3,,217,,,,0.1,,,,,,,,,,,,
P4,7/28/2024 0:00:00,,15.2,,209.5,,,,0.1,,,,,,,,,,,,
P4,7/30/2024 0:00:00,,15.1,,206.2,,,,0.1,,,,,,,,,,,,
P4,8/2/2024 0:00:00,,15.1,,204,,,,0.1,,,,,,,,,,,,
P4,8/3/2024 0:00:00,,15.4,,210,,,,0.1,,,,,,,,,,,,
P4,8/31/2024 0:00:00,,14.5,,201.6,,,,0.1,,,,,,,,,,,,
P4,9/4/2024 0:00:00,,15.4,,198.6,,,,0.1,,,,,,,,,,,,
P4,9/7/2024 0:00:00,,15,,196.1,,,,0.1,,,,,,,,,,,,
P4,9/18/2024 0:00:00,,14.4,,208.6,,,,0.1,,,,,,,,,,,,
P4,9/23/2024 0:00:00,,15.1,,184.7,,,,0.1,,,,,,,,,,,,
P4,10/4/2024 0:00:00,,14.8,,178,,,,0.1,,,,,,,,,,,,
P4,10/7/2024 0:00:00,,14.3,,178.4,,,,0.1,,,,,,,,,,,,
P4,10/10/2024 0:00:00,,14.1,,545,,,,0.3,,,,,,,,,,,,
P4,10/17/2024 0:00:00,,13.4,,465.1,,,,0.2,,,,,,,,,,,,
P4,10/21/2024 0:00:00,,13.1,,426.5,,,,0.2,,,,,,,,,,,,
P4,10/24/2024 0:00:00,,13.3,,406.1,,,,0.2,,,,,,,,,,,,
P4,11/1/2024 0:00:00,,12.7,,306.6,,,,0.1,,,,,,,,,,,,
P4,9/30/2025 0:00:00,7.96,13.7,,648,,509,,0.3,,00:39.80,20:00.00,14.2,,557,,702,,0.3,,20 min for recharge time. After 20 minutes the DTW read 9.96 ft
P4,10/7/2025 0:00:00,7.92,15.3,13.7,679,587,555,748,0.3,0.4,00:12.86,10.00.00,14.4,13.9,594,583,749,740,0.4,0.4,"Were these two swapped? After ten minutes, DTW was 10.67ft"
P4,10/14/2025 0:00:00,8.03,14,13.7,701,758,554,595,0.3,0.4,00:44.31,11:00.00,13.5,13.5,586,586,750,751,0.4,0.4,Not fully recharged--to DTW of 10.56ft
P4,10/28/2025 0:00:00,7.97,13.1,13,730,768,565,593,0.4,0.4,00:16.41,10:00.00,13,13,575,582,749,755,0.4,0.4,"Not done recharging, at DTW of 10.72 Only 3in down from top of water"
P4,11/4/2025 0:00:00,7.95,12.7,12.7,767,797,587,610,0.4,0.4,00:20.86,10:00.00,12.8,12.8,595,592,774,772,0.4,0.4,"recharged to DTW of 10.73ft. Stopped measuring after that  Because it hadn't recharged fully, the bottom measurement was only 4in below the top"
P4,11/11/2025 0:00:00,8.02,12.1,12.3,779,780,587,590,0.4,0.4,0:27.42,10:00.00,12.9,12.3,776,778,587,589,0.4,0.4,
P4,11/18/2025 0:00:00,7.99,11.2,11.8,777,785,569,586,0.4,0.4,00:15.83,10:00.00,11.4,11.6,770,780,569,580,0.4,0.4,
P4,1/6/2026 0:00:00,8.04,8,9,700,704,473,489,0.3,0.3,,,,,,,,,,,
P4,1/13/2026 0:00:00,8.05,8.1,8.7,706,709,479,488,0.3,0.3,00:09.03,10:00.00,8.3,8.8,760,760,519,524,0.4,0.4,
P4,2/17/2026 0:00:00,,7,7.5,792,788,520,524,0.4,0.4,00:10.22,10:00.00,7.5,7.5,790,790,527,525,0.4,0.4,
P4,2/24/2026 0:00:00,8.25,6.4,7.2,803,800,518,528,0.4,0.4,00:08.64,10:00.00,6.6,7.2,788,790,512,522,0.4,0.4,
P4,3/3/2026 0:00:00,8.25,6.7,7,808,802,524,526,0.4,0.4,00:12.55,10:00.00,7.3,7.2,800,796,528,525,0.4,0.4,
P4,3/10/2026 0:00:00,8.32,6.3,6.9,803,801,517,525,0.4,0.4,00:08.16,10:00.00,6.5,6.9,798,795,517,521,0.4,0.4,
P4,3/31/2026 0:00:00,8.22,7.6,7.1,812,800,533,526,0.4,0.4,00:11.50,10:00.00,7.2,7.1,811,802,534,527,0.4,0.4,
P4,4/7/2026 0:00:00,8.24,7,7,814,813,533,534,0.4,0.4,00:09.27,10:00.00,7,7,808,805,532,529,0.4,0.4,
P4,4/14/2026 0:00:00,8.18,7.9,7.3,814,814,548,538,0.4,0.4,00:08.10,10:00.00,7.8,7.4,818,806,548,536,0.4,0.4,
P4,4/21/2026 0:00:00,8.3,8.5,7.5,844,841,580,563,0.4,0.4,00:05.73,10:00.00,8.8,7.7,843,826,582,558,0.4,0.4,
P4,4/28/2026 0:00:00,8.23,8.3,7.7,828,829,565,555,0.4,0.4,00:09.05,10:00.00,8.6,7.8,821,813,564,547,0.4,0.4,
P4,5/12/2026 0:00:00,8.2,9.3,8.3,823,818,577,559,0.4,0.4,00:12.48,10:00.00,9.1,8.5,816,808,569,553,0.4,0.4,
P4,5/19/2026 0:00:00,8.24,9.4,8.5,822,822,577,563,0.4,0.4,00:08.43,10:00.00,8.8,8.5,811,812,562,556,0.4,0.4,
P4,5/26/2026 0:00:00,8.26,9.9,8.9,826,821,589,569,0.4,0.4,00:09.20,10:00.00,9.4,9.2,827,814,580,568,0.4,0.4,
P4,6/16/2026 0:00:00,8.18,11.3,10.1,807,803,596,575,0.4,0.4,00:14.12,10:00.00,10.9,10.2,794,801,582,576,0.4,0.4,
P4,6/23/2026 0:00:00,8.29,11.5,10.3,799,802,594,576,0.4,0.4,00:3.00,10:00.00,11.7,10.5,796,795,592,576,0.4,0.4,
P4,6/30/2026 0:00:00,8.25,11.6,10.6,804,808,596,586,0.4,0.4,0:2.41,10:00.00,11.5,10.9,792,793,588,579,0.4,0.4,
P4,7/14/2026 0:00:00,8.3,13,11.5,782,788,602,588,0.4,0.4,,10:00.00,12.3,11.8,774,774,586,579,0.4,0.4,Did not record pump time. Recharged to 9.65 feet
